,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
10,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-09-30 14:49:36,2025-09-30 14:49:36,26626.0,126.0,2321.0,144.0,10958.0,3308.0,4504.0,8555.0,2025-07-22 17:21:09,2505.1,10226.0,200.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,318.0,29,True,2.0,,,,,,,,,,,,,,
11,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-09-30 14:49:36,2025-09-30 14:49:36,26626.0,126.0,2321.0,144.0,10958.0,3308.0,4504.0,8555.0,2025-07-22 17:21:09,2505.1,10226.0,200.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,318.0,29,True,1.0,,,,,,,,,,,,,,
12,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-09-30 14:49:36,2025-09-30 14:49:36,26626.0,126.0,2321.0,144.0,10958.0,3308.0,4504.0,8555.0,2025-07-22 17:21:09,2505.1,10226.0,200.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,318.0,29,True,1.0,,,,,,,,,,,,,,
13,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-09-30 23:07:54,2025-09-29 21:34:57,1377.0,329.0,2365.0,55.0,1016.0,277.0,1563.0,5006.0,2025-08-29 17:58:55,2.2.1,,,17.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,164.0,28,True,1.0,,,,,,,,,,,,,,
14,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-09-30 17:27:43,2025-09-30 17:27:43,13071.0,59.0,1008.0,154.0,2516.0,144.0,773.0,4368.0,2025-09-05 16:27:31,14.4.1,3730.0,35.0,83.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,339.0,28,True,2.0,,,,,,,,,,,,,,
15,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-09-30 23:15:08,2025-08-26 19:42:27,15728.0,19.0,1806.0,74.0,4660.0,226.0,1653.0,3821.0,2025-02-04 12:36:33,R2025a,1717808.0,20948.0,17.0,Webots Robot Simulator.,,,140.0,28,True,1.0,,,,,,,,,,,,,,
16,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-09-30 23:15:08,2025-08-26 19:42:27,15728.0,19.0,1806.0,74.0,4660.0,226.0,1653.0,3821.0,2025-02-04 12:36:33,R2025a,1717817.0,20948.0,17.0,Webots Robot Simulator.,,,140.0,28,True,2.0,,,,,,,,,,,,,,
17,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-09-30 10:05:45,2025-09-30 10:05:00,18529.0,278.0,507.0,113.0,275.0,99.0,233.0,2546.0,2025-06-28 16:26:10,8.1.0,8941.0,165.0,6.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,132.0,28,True,1.0,,,,,,,,,,,,,,
18,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,,2905.0,411.0,1925.0,242.0,1791.0,13798.0,2022-04-24 23:54:27,3.25,5571.0,47.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,2.0,,,,,,,,,,,,,,
19,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-09-26 13:05:21,2025-09-26 13:02:15,362.0,20.0,306.0,33.0,106.0,87.0,314.0,2874.0,2025-08-15 18:50:11,0.13.0,,,34.0,Massively parallel rigidbody physics simulation on accelerator hardware.,536.0,536.0,47.0,26,True,2.0,,,,,,,,,,,,,,
20,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/Jondolf/avian,Apache-2.0,2022-05-29 11:28:38,2025-10-01 01:23:37,2025-10-01 01:23:37,1080.0,47.0,182.0,15.0,477.0,139.0,188.0,2391.0,2025-06-05 09:11:53,0.3.1,,,12.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,341.0,341.0,68.0,26,True,2.0,,,,,1.0,,,,,,,,,
21,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2025-08-29 07:42:25,2025-08-29 07:41:01,1414.0,6.0,777.0,29.0,116.0,75.0,407.0,3014.0,2024-08-19 21:58:05,1.10.1,,13116.0,16.0,A minimalist environment for decision-making in autonomous driving.,,,46.0,25,True,1.0,highway-env,https://pypi.org/project/highway-env,13116.0,,,,,,,,,,,
22,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-09-19 23:13:25,2025-05-29 18:14:02,7768.0,,251.0,66.0,597.0,268.0,374.0,1523.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,383.0,383.0,50.0,25,True,2.0,,,,,,,,,,,,,,
23,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,240.0,20.0,65.0,166.0,75.0,1437.0,,,,163619.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3094.0,3094.0,23.0,25,True,3.0,pyrender,https://pypi.org/project/pyrender,163619.0,,,,,,,,,,,
24,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-10-01 10:19:45,2025-10-01 06:52:40,3563.0,88.0,238.0,25.0,148.0,178.0,407.0,864.0,2025-09-24 09:02:59,2.51.0,29044.0,509.0,100.0,a basic OpenSCENARIO player.,,,89.0,25,True,2.0,,,,,,,,,,,,,,
25,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2025-09-08 12:55:07,2025-07-24 19:48:59,459.0,4.0,117.0,15.0,204.0,15.0,66.0,777.0,2025-07-24 19:50:03,1.4.1,,50370.0,14.0,A collection of robotics simulation environments for reinforcement learning.,306.0,306.0,34.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,50370.0,,,,,,,,,,,
26,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-09-29 04:43:08,2025-09-29 01:10:14,1385.0,264.0,100.0,61.0,326.0,18.0,100.0,619.0,2025-08-01 06:40:34,2.0.0,67491.0,1874.0,11.0,Open sourced digital twin simulator for Autoware.,,,32.0,25,True,2.0,,,,,,,,,,,,,,
27,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-09-30 11:35:39,2025-09-30 11:35:39,2292.0,67.0,330.0,113.0,1657.0,12.0,639.0,3494.0,2025-09-29 08:57:11,1.4.328,,,100.0,Open-Source Vulkan C++ API.,,,97.0,24,True,3.0,,,,,,,,,,,,,,
28,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-09-30 11:35:39,2025-09-30 11:35:39,2292.0,67.0,330.0,113.0,1657.0,12.0,639.0,3494.0,2025-09-29 08:57:11,1.4.328,,,100.0,Open-Source Vulkan C++ API.,,,97.0,24,True,3.0,,,,,,,,,,,,,,
29,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-09-27 10:12:43,2025-09-27 10:12:43,5981.0,22.0,501.0,56.0,430.0,39.0,320.0,1733.0,2025-06-07 19:39:51,1.2.3,30532.0,462.0,20.0,An open source flight dynamics & control software library.,,,71.0,24,True,2.0,,,,,,,,,,,,,,
30,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-09-30 03:29:20,2025-09-30 00:43:06,1403.0,82.0,72.0,7.0,99.0,4.0,29.0,593.0,2025-09-20 06:04:22,2.7.3,,1798.0,42.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",12.0,12.0,10.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,1798.0,,,,,,,,,,,
31,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2025-07-31 00:09:14,2025-07-31 00:09:14,957.0,3.0,284.0,29.0,313.0,3.0,233.0,1583.0,2025-06-14 01:43:48,3.0.0,,3535.0,2.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,,,40.0,23,True,2.0,metaworld,https://pypi.org/project/metaworld,3535.0,,-1.0,,,,,,,,,
32,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-10-01 06:39:03,2025-09-29 20:11:07,12128.0,233.0,80.0,10.0,455.0,94.0,307.0,236.0,2025-08-30 15:57:26,2.8.0,,,10.0,Astrodynamics simulation framework.,,,117.0,23,True,1.0,,,,,,,,,,,,,,
33,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-09-11 11:14:38,2025-08-25 15:16:27,5032.0,8.0,470.0,149.0,495.0,135.0,202.0,2454.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,22,True,2.0,,,,,,,,,,,,,,
34,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-10-01 03:18:43,2025-09-20 16:26:16,6164.0,34.0,280.0,62.0,1293.0,155.0,515.0,1002.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,
35,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-09-29 00:21:59,2025-09-15 09:00:56,2192.0,87.0,18.0,18.0,393.0,18.0,58.0,156.0,2025-09-09 12:31:39,0.8.0,,3316.0,11.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,13.0,22,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2741.0,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-09-09 15:47:57.572,11510.0,,,,,
36,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,765.0,86.0,41.0,614.0,1490.0,2397.0,2021-10-04 19:40:16,2021.3,97694.0,1191.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,
37,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,497.0,32.0,337.0,1466.0,1588.0,1282.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,
38,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-09-29 22:02:06,2025-09-29 19:31:01,7369.0,79.0,329.0,20.0,2091.0,432.0,573.0,1053.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,164.0,21,True,2.0,,,,https://gazebosim.org/api/sim/9/,,,,,,,,,,
39,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,161.0,44.0,36.0,127.0,214.0,766.0,2023-02-19 08:29:49,2.2.2,292.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,
40,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-09-30 00:27:22,2025-04-24 22:53:07,1639.0,,470.0,80.0,1740.0,193.0,637.0,3202.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,20,True,2.0,,,,,,,,,,,,,,
41,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,277.0,32.0,75.0,109.0,2157.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,
42,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-09-19 00:39:18,2025-09-19 00:39:10,584.0,30.0,347.0,20.0,551.0,96.0,596.0,2114.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,53.0,20,True,2.0,,,,,-1.0,,,,,,,,,
43,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2025-10-01 02:41:32,2025-10-01 02:40:49,886.0,248.0,94.0,21.0,432.0,151.0,262.0,1110.0,,,,,,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,29.0,20,True,2.0,,,,,2.0,,,,,,,,,
44,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-10-01 08:25:26,2025-10-01 08:25:26,1488.0,507.0,81.0,32.0,541.0,43.0,155.0,778.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,25.0,20,True,3.0,,,,,,,,,,,,,,
45,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-09-28 18:25:54,2025-07-24 16:37:40,2459.0,5.0,232.0,16.0,297.0,31.0,528.0,557.0,2025-07-24 18:30:37,3.0.4,,,18.0,Virtual RobotX (VRX) resources.,,,36.0,20,True,1.0,,,,,,,,,,,,,,
46,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-09-23 01:10:27,2025-09-23 01:10:26,518.0,28.0,62.0,16.0,270.0,6.0,117.0,350.0,2025-08-19 03:17:20,4.3.0,,377.0,13.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,18.0,20,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,377.0,,,,,,,,,,,
47,Jiminy,duburcqa/jiminy,,ml,https://github.com/duburcqa/jiminy,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-09-05 07:35:57,2025-05-01 09:16:25,638.0,,28.0,4.0,750.0,35.0,92.0,270.0,2025-02-09 14:27:31,1.8.12,,3349.0,100.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,10.0,10.0,9.0,20,True,2.0,jiminy-py,https://pypi.org/project/jiminy-py,3349.0,,,,,,,,,,,
48,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1464.0,224.0,16.0,53.0,70.0,3967.0,2017-07-11 20:07:27,T3_v1.2,71383.0,706.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,
49,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-06-04 17:04:13,2024-07-03 20:22:46,551.0,,342.0,65.0,616.0,14.0,193.0,1199.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,
50,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2025-09-16 18:22:48,2025-07-17 18:25:36,1690.0,4.0,56.0,17.0,28.0,59.0,144.0,650.0,,,5431.0,319.0,2.0,SAPIEN Embodied AI Platform.,227.0,227.0,15.0,19,True,2.0,,,,,,,,,,,,,,
51,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-09-30 14:31:07,2025-04-16 10:05:50,5135.0,,78.0,10.0,32.0,38.0,39.0,228.0,2025-04-16 10:16:26,5.5-v3.3,6614.0,367.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,19,True,1.0,,,,,-1.0,,,,,,,,,
52,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-10-01 00:05:50,2025-10-01 00:05:50,806.0,80.0,27.0,6.0,506.0,13.0,12.0,206.0,2025-08-18 11:19:25,0.2.10,,415.0,82.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,,,9.0,19,True,2.0,ksim,https://pypi.org/project/ksim,415.0,,,,,,,,,,,
53,PyFlyt,jjshoots/PyFlyt,,aerial,https://github.com/jjshoots/PyFlyt,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2025-06-17 11:55:49,2025-06-17 11:55:49,1081.0,,35.0,6.0,34.0,13.0,46.0,182.0,2025-03-01 13:09:21,0.29.0,,2546.0,34.0,UAV Flight Simulator for Reinforcement Learning Research.,37.0,37.0,11.0,19,True,1.0,pyflyt,https://pypi.org/project/pyflyt,2546.0,,,,,,,https://taijunjet.com/PyFlyt/index.html,,,,
54,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-10-01 09:45:08,2025-09-28 05:55:36,801.0,423.0,124.0,15.0,355.0,61.0,95.0,1468.0,,,3.0,1.0,2.0,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,34.0,18,True,3.0,,,,,,,,,,,,,,
55,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-09-15 18:51:22,2025-09-15 18:50:33,143.0,28.0,199.0,18.0,54.0,26.0,101.0,1461.0,2025-06-23 18:39:59,0.0.5,,,4.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,18,True,3.0,,,,,,,,,,,,,,
56,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,680.0,97.0,339.0,161.0,220.0,1395.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,
57,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-10-01 07:22:03,2024-08-16 12:00:23,10375.0,,328.0,72.0,1011.0,299.0,222.0,787.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,
