,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,trending,home_page,docs_url,update_at,gitlab_id,gitlab_url
24,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-12-10 02:22:49,2025-12-06 06:25:32,6410.0,248.0,283.0,55.0,1557.0,27.0,645.0,1030.0,2025-11-10 06:16:06,6.16.0,,,62.0,DART: Dynamic Animation and Robotics Toolkit.,9.0,9.0,74.0,25,True,2.0,,,,,,,,,,,,,,,
25,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-12-09 13:15:51,2025-12-05 15:26:45,3656.0,121.0,244.0,26.0,155.0,184.0,414.0,887.0,2025-12-05 15:54:32,2.56.1,31196.0,567.0,100.0,a basic OpenSCENARIO player.,,,89.0,25,True,2.0,,,,,,,,,,,,,,,
26,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2025-11-24 12:50:12,2025-07-24 19:48:59,459.0,,124.0,13.0,208.0,17.0,66.0,814.0,2025-07-24 19:50:03,1.4.1,,23907.0,14.0,A collection of robotics simulation environments for reinforcement learning.,318.0,318.0,34.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,23907.0,,,,,,,,,,,,
27,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-12-09 09:33:35,2025-12-09 09:33:35,2343.0,69.0,335.0,108.0,1716.0,15.0,657.0,3555.0,2025-12-01 07:46:46,1.4.335,,,100.0,Open-Source Vulkan C++ API.,,,98.0,24,True,3.0,,,,,,,,,,,,,,,
28,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-12-09 09:33:35,2025-12-09 09:33:35,2343.0,69.0,335.0,108.0,1716.0,15.0,657.0,3555.0,2025-12-01 07:46:46,1.4.335,,,100.0,Open-Source Vulkan C++ API.,,,98.0,24,True,3.0,,,,,,,,,,,,,,,
29,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2025-11-10 16:53:51,2025-11-10 16:53:50,960.0,3.0,300.0,26.0,316.0,5.0,237.0,1659.0,2025-06-14 01:43:48,3.0.0,,9851.0,2.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,,,40.0,24,True,2.0,metaworld,https://pypi.org/project/metaworld,9851.0,,,,,,,,,,,,
30,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-12-06 15:47:43,2025-12-06 15:47:08,1445.0,130.0,103.0,60.0,339.0,19.0,104.0,653.0,2025-10-31 07:06:14,2.0.1,71811.0,1889.0,12.0,Open sourced digital twin simulator for Autoware.,,,33.0,24,True,3.0,,,,,,,,,,,,,,,
31,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-12-09 03:08:00,2025-12-09 03:07:53,1438.0,52.0,76.0,7.0,125.0,1.0,34.0,649.0,2025-10-26 08:57:59,2.7.5,,1389.0,44.0,"A Python-based lightweight robot simulator designed for navigation, control, and reinforcement learning.",12.0,12.0,10.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,1389.0,,,,,,,,,,,,
32,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-11-28 10:32:46,2025-11-28 10:32:45,5986.0,12.0,509.0,58.0,437.0,39.0,321.0,1816.0,2025-06-07 19:39:51,1.2.3,32570.0,478.0,20.0,An open source flight dynamics & control software library.,,,71.0,23,True,2.0,,,,,,,,,,,,,,,
33,Colosseum,CodexLabsLLC/Colosseum,,aerial,https://codexlabsllc.github.io/Colosseum/,https://github.com/CodexLabsLLC/Colosseum,MIT,2022-07-23 10:32:41,2025-12-08 14:09:28,2025-12-08 14:09:27,3717.0,8.0,165.0,23.0,44.0,57.0,26.0,572.0,2025-08-08 18:22:02,2.3.0,18412.0,497.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,,,255.0,23,True,1.0,,,,,,,,,,,,,,,
34,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-12-10 07:25:55,2025-12-09 16:12:57,12389.0,306.0,91.0,9.0,503.0,95.0,340.0,259.0,2025-08-30 15:57:26,2.8.0,,,10.0,Astrodynamics simulation framework.,,,118.0,23,True,1.0,,,,,,,,,,,,,,,
35,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-12-09 12:00:41,2025-11-19 02:16:29,7392.0,30.0,351.0,18.0,2176.0,448.0,589.0,1139.0,2025-10-14 04:14:45,gz-sim10_10.0.0,,,7.0,Open source robotics simulator. The latest version of Gazebo.,,,167.0,22,True,2.0,,,,https://gazebosim.org/api/sim/9/,,,,,,,,,,,
36,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-12-10 08:01:35,2025-12-10 08:01:33,2285.0,94.0,18.0,16.0,416.0,13.0,65.0,165.0,2025-11-17 11:01:02,0.8.1,,2690.0,12.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,14.0,22,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2096.0,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-11-19 09:43:18.553,13076.0,,,,,,
37,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,771.0,84.0,41.0,614.0,1490.0,2408.0,2021-10-04 19:40:16,2021.3,97938.0,1165.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,,
38,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2025-12-10 10:12:23,2025-12-10 08:29:33,1069.0,240.0,189.0,33.0,604.0,209.0,384.0,2167.0,,,,,,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,37.0,21,True,2.0,,,,,,,,,,,,,,,
39,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,503.0,30.0,337.0,1466.0,1588.0,1309.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,,
40,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,162.0,41.0,36.0,127.0,214.0,783.0,2023-02-19 08:29:49,2.2.2,298.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,,
41,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-10-08 12:51:46,2025-04-24 22:53:07,1639.0,,488.0,77.0,1742.0,197.0,638.0,3385.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,20,True,2.0,,,,,,,,,,,,,,,
42,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-12-10 02:14:37,2025-11-03 01:45:00,5035.0,3.0,472.0,144.0,499.0,137.0,202.0,2479.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,20,True,2.0,,,,,,,,,,,,,,,
43,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-12-07 21:25:27,2025-12-07 21:22:16,607.0,28.0,386.0,18.0,572.0,102.0,635.0,2344.0,2025-12-05 09:27:11,3.0.0b22,,,36.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,62.0,20,True,2.0,,,,,,,,,,1.0,,,,,
44,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,274.0,32.0,75.0,109.0,2163.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,,
45,mjlab,mujocolab/mjlab,,ml,https://github.com/mujocolab/mjlab,https://github.com/mujocolab/mjlab,Apache-2,2025-06-10 02:34:09,2025-12-09 11:43:39,2025-12-09 01:54:06,465.0,465.0,133.0,6.0,263.0,19.0,94.0,1145.0,,,,3743.0,1.0,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.",,,19.0,20,True,2.0,mjlab,https://pypi.org/project/mjlab,3743.0,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,,,,,,,
46,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-11-27 12:48:32,2025-11-26 15:13:58,2464.0,5.0,243.0,15.0,304.0,31.0,535.0,593.0,2025-11-26 14:36:35,3.1.0,,,19.0,Virtual RobotX (VRX) resources.,,,37.0,20,True,1.0,,,,,,,,,,,,,,,
47,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-12-08 16:57:45,2025-12-08 16:57:44,536.0,20.0,64.0,14.0,289.0,7.0,117.0,360.0,2025-11-06 05:09:06,4.3.2,,383.0,15.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,18.0,20,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,383.0,,,,,,,,,,,,
48,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-10-31 13:20:59,2025-10-03 12:09:39,5161.0,23.0,91.0,10.0,34.0,39.0,40.0,262.0,2025-04-16 10:16:26,5.5-v3.3,8772.0,438.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,20,True,1.0,,,,,,,,,,,,,,,
49,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1462.0,219.0,16.0,53.0,70.0,3972.0,2017-07-11 20:07:27,T3_v1.2,71836.0,697.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,,
50,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-12-02 17:42:45,2025-12-02 17:42:45,553.0,2.0,346.0,61.0,620.0,14.0,193.0,1230.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,,
51,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-12-10 10:22:39,2025-12-10 10:22:38,1585.0,119.0,97.0,34.0,655.0,45.0,195.0,935.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,29.0,19,True,3.0,,,,,,,,,,,,,,,
52,Jiminy,duburcqa/jiminy,,ml,https://github.com/duburcqa/jiminy,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-09-05 07:35:57,2025-05-01 09:16:25,638.0,,28.0,3.0,751.0,36.0,92.0,279.0,2025-02-09 14:27:31,1.8.12,,2315.0,100.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,10.0,10.0,9.0,19,True,2.0,jiminy-py,https://pypi.org/project/jiminy-py,2315.0,,,,,,,,,,,,
53,PyFlyt,jjshoots/PyFlyt,,aerial,https://github.com/jjshoots/PyFlyt,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2025-06-17 11:55:49,2025-06-17 11:55:49,1081.0,,38.0,4.0,35.0,14.0,46.0,202.0,2025-03-01 13:09:21,0.29.0,,1348.0,34.0,UAV Flight Simulator for Reinforcement Learning Research.,38.0,38.0,11.0,19,True,2.0,pyflyt,https://pypi.org/project/pyflyt,1348.0,,,,,,,,https://taijunjet.com/PyFlyt/index.html,,,,
54,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-11-18 02:18:23,2025-11-18 02:18:15,835.0,24.0,462.0,16.0,59.0,109.0,110.0,1753.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,20.0,18,True,2.0,,,,,,,,,,,,,,,
55,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-12-09 18:38:25,2025-12-05 12:09:36,967.0,205.0,138.0,14.0,526.0,57.0,115.0,1539.0,,,5.0,1.0,2.0,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,44.0,18,True,2.0,,,,,,,,,,,,,,,
56,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,684.0,94.0,339.0,161.0,220.0,1422.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,,
57,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-08-15 18:57:56,2025-05-12 06:21:55,822.0,,160.0,18.0,437.0,88.0,314.0,1054.0,2024-12-06 17:31:09,MetaDrive-0.4.3,59975.0,1175.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,18,True,2.0,,,,,,,,,,,,,,,
