,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,docs_url,update_at,commint_count,gitlab_id,gitlab_url
24,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-06-07 19:39:59,2025-06-07 19:39:59,5959.0,31.0,478.0,57.0,407.0,40.0,314.0,1590.0,2025-06-07 19:39:51,1.2.3,28089.0,453.0,20.0,An open source flight dynamics & control software library.,,,69.0,24,True,2.0,,,,,,,,,,,,,,,
25,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-06-11 00:10:45,2025-05-29 18:14:02,7768.0,2.0,239.0,67.0,595.0,259.0,371.0,1404.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,379.0,379.0,49.0,24,True,2.0,,,,,,,,,,,,,,,
26,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-06-11 06:23:14,2025-06-09 16:44:32,1286.0,145.0,65.0,7.0,39.0,5.0,15.0,520.0,2025-06-02 10:04:01,2.5.2,,2422.0,33.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",12.0,12.0,8.0,23,True,1.0,,ir-sim,https://pypi.org/project/ir-sim,2422.0,,,,,,,,,,,
27,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-06-10 23:32:20,2025-06-10 23:02:23,11869.0,240.0,73.0,11.0,404.0,74.0,280.0,203.0,2025-04-20 14:29:30,2.7.0,,,9.0,Astrodynamics simulation framework.,,,113.0,23,True,1.0,,,,,,,,,,,,,,,
28,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-06-05 20:19:11,2025-05-17 23:27:54,5024.0,6.0,466.0,150.0,488.0,136.0,195.0,2417.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,60.0,22,True,2.0,,,,,,,,,,,,,,,
29,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-06-11 07:04:59,2025-06-06 18:25:06,530.0,53.0,275.0,21.0,497.0,91.0,498.0,1690.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,45.0,22,True,2.0,,,,,,1.0,,,,,,,,,
30,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-06-11 03:21:12,2025-06-07 12:48:04,6127.0,26.0,280.0,63.0,1240.0,156.0,514.0,974.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,,
31,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-04-16 10:16:26,2025-04-16 10:05:50,5135.0,49.0,54.0,9.0,31.0,29.0,34.0,177.0,2025-04-16 10:16:26,5.5-v3.3,3232.0,230.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,22,True,1.0,,,,,,,,,,,,,,,
32,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,761.0,84.0,41.0,614.0,1490.0,2366.0,2021-10-04 19:40:16,2021.3,97319.0,1247.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,,
33,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,493.0,32.0,337.0,1466.0,1588.0,1263.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,,
34,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-06-09 22:04:30,2025-06-09 20:12:06,7148.0,15.0,302.0,18.0,1983.0,409.0,550.0,919.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,154.0,21,True,2.0,,,,,https://gazebosim.org/api/sim/9/,,,,,,,,,,
35,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,MIT,2020-03-16 01:11:40,2025-05-17 00:10:50,2023-02-08 07:39:06,1265.0,,48.0,17.0,27.0,53.0,139.0,576.0,,,3087.0,237.0,2.0,SAPIEN Embodied AI Platform.,216.0,216.0,10.0,21,True,2.0,True,,,,,,,,,,,,,,
36,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-06-05 10:16:18,2025-06-05 09:55:40,2449.0,27.0,217.0,15.0,287.0,44.0,495.0,514.0,2025-06-05 09:56:42,3.0.2,,,16.0,Virtual RobotX (VRX) resources.,,,36.0,21,True,1.0,True,,,,,,,,,,,,,,
37,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-06-10 11:03:08,2025-06-09 14:03:45,2105.0,189.0,15.0,18.0,372.0,13.0,58.0,125.0,2025-04-22 15:56:40,0.7.0,,3966.0,10.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,13.0,21,True,2.0,,jaxsim,https://pypi.org/project/jaxsim,3399.0,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-04-29 13:51:13.239,9073.0,,,,,
38,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-05-28 01:31:03,2025-04-24 22:53:07,1639.0,1.0,452.0,79.0,1739.0,182.0,636.0,2989.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,20,True,2.0,,,,,,,,,,,,,,,
39,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,281.0,32.0,75.0,109.0,2151.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,,
40,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-06-04 17:04:13,2024-07-03 20:22:46,551.0,,326.0,63.0,614.0,13.0,189.0,1164.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,21.0,20,True,2.0,,,,,,,,,,,,,,,
41,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-04-16 09:10:53,2025-04-16 09:04:58,1121.0,2.0,93.0,62.0,283.0,40.0,70.0,585.0,2024-11-15 12:44:00,1.3.1,60514.0,1891.0,10.0,Open source simulator for self-driving vehicles.,,,30.0,20,True,3.0,,,,,,,,,,,,,,,
42,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-06-09 18:25:13,2025-06-09 18:25:11,705.0,507.0,10.0,5.0,415.0,2.0,12.0,117.0,2025-06-09 08:27:33,0.1.93,,1919.0,66.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,42.0,42.0,8.0,20,True,2.0,,ksim,https://pypi.org/project/ksim,1919.0,,,,,,,,,,,
43,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1463.0,226.0,16.0,53.0,70.0,3954.0,2017-07-11 20:07:27,T3_v1.2,70775.0,729.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,,
44,LocoMuJoCo,robfiras/loco-mujoco,,ml,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,MIT,2023-06-22 17:23:08,2025-05-30 15:29:57,2025-05-30 15:29:56,696.0,49.0,97.0,13.0,16.0,24.0,34.0,1041.0,2025-04-18 12:03:55,1.0.1,,,6.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,13.0,19,True,3.0,,,,,,,,,,,,,,,
45,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-06-03 01:10:41,2025-06-03 01:10:39,485.0,16.0,54.0,16.0,243.0,8.0,108.0,330.0,2025-04-16 03:28:30,4.0.0,,118.0,10.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,17.0,19,True,2.0,,pyrobosim,https://pypi.org/project/pyrobosim,118.0,,,,,,,,,,,
46,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,681.0,97.0,339.0,160.0,220.0,1339.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,,
47,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-06-11 09:04:16,2024-08-16 12:00:23,10375.0,,322.0,73.0,997.0,299.0,221.0,762.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,,
48,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,BSD-3-Clause,2022-10-04 09:07:32,2025-04-07 15:09:34,2025-04-07 15:09:34,33.0,8.0,467.0,56.0,42.0,33.0,118.0,3976.0,2025-03-25 09:26:22,107.0-physx-5.6.0,,,18.0,NVIDIA PhysX SDK.,,,7.0,17,True,2.0,,,,,,,,,,,,,,,
49,Flightmare,uzh-rpg/flightmare,[],aerial,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,356.0,34.0,37.0,113.0,60.0,1142.0,2020-12-01 16:59:05,0.0.5,5378.0,92.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,,,
50,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-05-12 06:21:57,2025-05-12 06:21:55,822.0,7.0,129.0,17.0,435.0,82.0,309.0,922.0,2024-12-06 17:31:09,MetaDrive-0.4.3,43966.0,977.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,17,True,3.0,,,,,,-1.0,,,,,,,,,
51,Holodeck,BYU-PCCL/holodeck,,ml,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,MIT,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,48.0,196.0,587.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,,,,,,,,,,,,
52,TPE (part of gz-physics),gazebosim/gz-physics,[],physics,https://gazebosim.org/,https://github.com/gazebosim/gz-physics,Apache-2.0,2020-04-15 09:18:03,2025-05-19 17:54:05,2025-04-30 22:36:01,1851.0,11.0,44.0,17.0,603.0,72.0,72.0,69.0,2025-01-16 23:48:49,gz-physics8_8.0.0,,,6.0,Abstract physics interface designed to support simulation and rapid development of robot applications.,,,47.0,17,True,2.0,,,,,,,,,,,,,,,
53,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,Apache-2,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,442.0,58.0,237.0,47.0,145.0,2270.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,2.0,,,,,,,,,,,,,,,
54,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-02-11 05:33:37,2025-02-11 05:33:37,803.0,,412.0,17.0,52.0,103.0,106.0,1513.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,16,True,2.0,,,,,,,,,,,,,,,
55,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-06-11 09:15:12,2025-06-11 09:15:12,322.0,322.0,75.0,13.0,127.0,50.0,57.0,1236.0,,,,,,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,16.0,16,True,3.0,,,,,,,,,,,,,,,
56,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-06-09 16:30:54,2025-06-09 16:30:07,106.0,21.0,127.0,19.0,38.0,20.0,61.0,1089.0,2025-03-07 19:25:32,0.0.4,,,3.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,16,True,3.0,,,,,,,,,,,,,,,
57,UUV Simulator,uuvsimulator/uuv_simulator,,maritime,https://uuvsimulator.github.io/,https://github.com/uuvsimulator/uuv_simulator,apache-2,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,,312.0,49.0,285.0,106.0,75.0,771.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,16,False,1.0,,,,,,,,,,,,,,,
58,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-06-11 09:15:56,2025-06-11 09:15:56,832.0,831.0,53.0,28.0,246.0,36.0,70.0,554.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,20.0,16,True,3.0,,,,,,,,,,,,,,,
