,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,star_count,docs_url,release_count,latest_stable_release_number,latest_stable_release_published_at,update_at,last_commit_pushed_at,created_at,fork_count,commit_count,open_issue_count,closed_issue_count,updated_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
164,Itomori,gustavo-moura/itomori,aerial,{},,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
165,BSK-RL,AVSLab/bsk_rl,space,https://avslab.github.io/bsk_rl/,,,,10.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
166,racecar_gym,axelbr/racecar_gym/,ml,{},,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
167,Ardupilot_Multiagent_Simulation,aau-cns/Ardupilot_Multiagent_Simulation,aerial,{},,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
168,Project AirSim,iamaisim/ProjectAirSim,aerial,https://iamaisim.github.io/ProjectAirSim/,,,,17.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
169,UAIbot,UAIbot/UAIbotPy,ml,https://uaibot.github.io/,,,,3.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
170,optimAero PX4,optimAero/optimAeroPX4SIL,aerial,https://optim.aero/px4silsimulink.html,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
171,Crazyflow,utiasDSL/crazyflow,aerial,{},,,,10.0,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
172,CrazyS,gsilano/CrazyS,aerial,{},,,,2.0,,,,,-1,False,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
173,UW-Morse,eirikhex/UW-MORSE,maritime,{},,,,2.0,,,,,-1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
174,DWA_Algorithm_PYTHON,EricChen0104/DWA_Algorithm_PYTHON,flatsim,{},,,,2.0,,,,,-1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
175,multi-agent_sim,tjards/multi-agent_sim,domain,{},,,,2.0,,,,,-1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
