,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,doc_url,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,gitlab_id,gitlab_url,update_at,docs_url
21,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-05-14 22:46:15,2025-05-14 22:46:15,5951.0,28.0,478.0,56.0,399.0,41.0,311.0,1569.0,2025-03-22 12:12:22,1.2.2,27440.0,449.0,19.0,An open source flight dynamics & control software library.,,,69.0,24,True,2.0,,,,,,,,,,,,,,
22,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-05-19 17:59:59,2025-05-17 11:53:45,1255.0,193.0,62.0,7.0,36.0,4.0,13.0,498.0,2025-05-06 15:45:46,2.4.4,,2200.0,30.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",11.0,11.0,7.0,24,True,1.0,,,ir-sim,https://pypi.org/project/ir-sim,2200.0,,,,,,,,,
23,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-05-20 06:33:44,2025-04-24 17:01:41,11814.0,236.0,74.0,10.0,396.0,72.0,276.0,193.0,2025-04-20 14:29:30,2.7.0,,,9.0,Astrodynamics simulation framework.,,,112.0,23,True,1.0,,,,,,True,,,,,,,,
24,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-05-21 01:52:19,2025-05-17 23:27:54,5024.0,8.0,467.0,150.0,487.0,136.0,194.0,2407.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,60.0,22,True,2.0,1.0,,,,,,,,,,,,,
25,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-05-21 03:15:55,2025-05-19 17:03:55,6124.0,28.0,280.0,61.0,1233.0,156.0,514.0,962.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,
26,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-04-16 10:16:26,2025-04-16 10:05:50,5135.0,50.0,49.0,9.0,31.0,18.0,34.0,166.0,2025-04-16 10:16:26,5.5-v3.3,2879.0,221.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,22,True,1.0,,,,,,,,,,,,,,
27,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-05-20 23:59:02,2025-04-24 22:53:07,1639.0,4.0,453.0,79.0,1739.0,182.0,636.0,2951.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,21,True,2.0,,,,,,,,,,,,,,
28,SVL Simulator,lgsvl/simulator,,domain,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,761.0,84.0,41.0,614.0,1490.0,2358.0,2021-10-04 19:40:16,2021.3,97256.0,1263.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,2.0,,,,,,,,,,,,,,
29,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-05-20 23:30:17,2025-05-20 23:30:12,522.0,70.0,265.0,20.0,483.0,83.0,482.0,1616.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,43.0,21,True,2.0,,,,,,,,,,,,,,
30,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,491.0,32.0,337.0,1466.0,1588.0,1259.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,1.0,,,,,,,,,,,,,,
31,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-05-20 17:06:41,2025-05-19 05:40:44,7144.0,25.0,296.0,17.0,1968.0,405.0,543.0,897.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,154.0,21,True,1.0,,https://gazebosim.org/api/sim/9/,,,,,,,,,,,,
32,AWSim,tier4/AWSIM,,domain,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-04-16 09:10:53,2025-04-16 09:04:58,1121.0,4.0,93.0,62.0,283.0,39.0,70.0,579.0,2024-11-15 12:44:00,1.3.1,59094.0,1906.0,10.0,Open source simulator for self-driving vehicles.,,,30.0,21,True,2.0,,,,,,,,,,,,,,
33,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-05-21 09:59:55,2025-05-20 15:38:07,2074.0,190.0,14.0,18.0,363.0,13.0,57.0,125.0,2025-04-22 15:56:40,0.7.0,,2858.0,10.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,12.0,21,True,2.0,-1.0,,jaxsim,https://pypi.org/project/jaxsim,2293.0,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-04-29 13:51:13.239,8475.0,,,,
34,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,282.0,32.0,75.0,109.0,2149.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,
35,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-04-17 21:28:01,2024-07-03 20:22:46,551.0,,325.0,63.0,613.0,13.0,189.0,1158.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,21.0,20,True,2.0,,,,,,True,,,,,,,,
36,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-05-19 22:54:20,2025-05-19 22:54:18,483.0,19.0,53.0,14.0,241.0,7.0,108.0,327.0,2025-04-16 03:28:30,4.0.0,,289.0,10.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,17.0,20,True,2.0,,,pyrobosim,https://pypi.org/project/pyrobosim,289.0,,,,,,,,,
37,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-05-19 04:03:46,2025-05-19 04:03:45,670.0,618.0,3.0,3.0,388.0,2.0,12.0,80.0,2025-05-18 03:19:17,0.1.3,,2534.0,57.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,26.0,26.0,7.0,20,True,2.0,,,ksim,https://pypi.org/project/ksim,2534.0,True,,,,,,,,
38,Self Driving Car,udacity/self-driving-car-sim,,domain,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1464.0,226.0,16.0,53.0,70.0,3949.0,2017-07-11 20:07:27,T3_v1.2,70712.0,736.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,
39,LocoMuJoCo,robfiras/loco-mujoco,,ml,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,MIT,2023-06-22 17:23:08,2025-04-18 12:03:55,2025-04-18 11:54:58,694.0,145.0,87.0,13.0,14.0,22.0,33.0,975.0,2025-04-18 12:03:55,1.0.1,,,6.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,13.0,19,True,2.0,,,,,,,,,,,,,,
40,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-05-12 06:21:57,2025-05-12 06:21:55,822.0,13.0,128.0,16.0,435.0,79.0,309.0,908.0,2024-12-06 17:31:09,MetaDrive-0.4.3,42567.0,967.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,2.0,,,,,,,,,,,,,,
41,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,680.0,97.0,339.0,160.0,220.0,1326.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,
42,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-05-21 06:02:18,2024-08-16 12:00:23,10375.0,,322.0,73.0,993.0,299.0,221.0,758.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,
43,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,BSD-3-Clause,2022-10-04 09:07:32,2025-04-07 15:09:34,2025-04-07 15:09:34,33.0,8.0,460.0,56.0,42.0,33.0,116.0,3936.0,2025-03-25 09:26:22,107.0-physx-5.6.0,,,18.0,NVIDIA PhysX SDK.,,,7.0,17,True,3.0,,,,,,,,,,,,,,
44,Flightmare,uzh-rpg/flightmare,[],aerial,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,353.0,34.0,37.0,113.0,60.0,1133.0,2020-12-01 16:59:05,0.0.5,5323.0,93.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,,
45,Holodeck,BYU-PCCL/holodeck,,ml,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,MIT,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,48.0,196.0,585.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,,,,,,,,,,,
46,TPE (part of gz-physics),gazebosim/gz-physics,[],physics,https://gazebosim.org/,https://github.com/gazebosim/gz-physics,Apache-2.0,2020-04-15 09:18:03,2025-05-19 17:54:05,2025-04-30 22:36:01,1851.0,11.0,45.0,16.0,603.0,72.0,72.0,68.0,2025-01-16 23:48:49,gz-physics8_8.0.0,,,6.0,Abstract physics interface designed to support simulation and rapid development of robot applications.,,,47.0,17,True,3.0,,,,,,,,,,,,,,
47,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,Apache-2,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,442.0,58.0,237.0,46.0,145.0,2261.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,2.0,,,,,,,,,,,,,,
48,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-02-11 05:33:37,2025-02-11 05:33:37,803.0,,408.0,17.0,52.0,103.0,106.0,1495.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,16,True,2.0,,,,,,,,,,,,,,
49,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-05-20 23:46:48,2025-05-20 09:33:03,296.0,296.0,67.0,13.0,91.0,42.0,53.0,1150.0,,,,,,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,15.0,16,True,3.0,,,,,,,,,,,,,,
50,UUV Simulator,uuvsimulator/uuv_simulator,,maritime,https://uuvsimulator.github.io/,https://github.com/uuvsimulator/uuv_simulator,apache-2,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,,312.0,49.0,285.0,106.0,75.0,770.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,16,False,1.0,,,,,,,,,,,,,,
51,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-05-21 09:57:33,2025-05-21 09:57:32,628.0,628.0,46.0,27.0,198.0,37.0,49.0,495.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,17.0,16,True,3.0,,,,,,,,,,,,,,
52,RaiSim,raisimTech/raisimlib,,physics,https://raisim.com/,https://github.com/raisimTech/raisimLib,Proprietary Software License,2020-09-06 01:58:59,2025-05-19 23:00:32,2025-05-19 23:00:32,1135.0,3.0,92.0,13.0,186.0,55.0,343.0,366.0,2022-09-22 00:51:12,1.1.5,216.0,6.0,4.0,Visit www.raisim.com.,,,16.0,16,True,3.0,1.0,,,,,,,,,,,,,
53,Morse,morse-simulator/morse,,robotics,http://morse-simulator.github.io/,https://github.com/morse-simulator/morse,OFL-1.1,2010-08-23 14:41:06,2022-05-13 00:19:02,2022-03-22 21:33:51,4356.0,,143.0,38.0,389.0,98.0,340.0,363.0,2016-02-12 09:28:10,1.4,,,4.0,The Modular OpenRobots Simulation Engine.,,,59.0,16,False,2.0,,,,,,,,,,,,,,
54,ARGoS,ilpincy/argos3,[],robotics,https://www.argos-sim.info/,https://github.com/ilpincy/argos3,MIT,2012-11-05 19:07:02,2025-05-03 19:23:32,2025-05-03 19:22:55,1397.0,5.0,110.0,22.0,95.0,28.0,101.0,281.0,,,,,,"A parallel, multi-engine simulator for heterogeneous swarm robotics.",,,25.0,16,True,2.0,,,,,,,,,,,,,,
55,rotorpy,spencerfolk/rotorpy,[],aerial,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,MIT,2023-03-15 18:55:42,2025-04-25 20:16:41,2025-04-25 20:14:51,209.0,71.0,38.0,6.0,7.0,4.0,10.0,160.0,2025-04-25 20:17:49,2.0.0,3.0,1.0,3.0,A multirotor simulator with aerodynamics for education and research.,,,5.0,16,True,2.0,,,,,,,,,,,,,,
56,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,[],physics,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIAGameWorks/PhysX,NVIDIA Omniverse License Agreement,2018-12-05 14:30:22,2023-09-05 08:32:01,2022-11-09 12:26:46,12.0,,774.0,145.0,60.0,309.0,307.0,3351.0,2018-12-20 16:57:26,4.0.0,,,2.0,NVIDIA PhysX SDK.,,,3.0,15,True,3.0,,,,,,,,,,,,,,
57,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-05-14 07:16:54,2025-05-14 07:16:06,101.0,22.0,117.0,17.0,36.0,13.0,58.0,1022.0,2025-03-07 19:25:32,0.0.4,,,3.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,15,True,3.0,,,,,,,,,,,,,,
58,Gibson,StanfordVL/GibsonEnv,,ml,http://gibsonenv.stanford.edu/,https://github.com/StanfordVL/GibsonEnv,MIT,2017-12-18 20:12:35,2024-04-15 12:20:11,2021-05-12 18:03:25,1156.0,,145.0,29.0,26.0,47.0,71.0,907.0,,,,,2.0,Gibson Environments: Real-World Perception for Embodied Agents.,,,9.0,15,True,3.0,,,,,,,,,,,,,,
59,PyRep,stepjam/PyRep,,ml,https://github.com/stepjam/PyRep,https://github.com/stepjam/PyRep,MIT,2019-06-26 12:15:58,2024-08-16 12:54:08,2024-07-02 08:49:17,153.0,,159.0,12.0,101.0,5.0,293.0,734.0,2024-01-28 14:47:39,4.1.0,,,1.0,A toolkit for robot learning research.,,,20.0,15,True,3.0,,,,,,,,,,,,,,
