,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,licence,gitlab_id,gitlab_url
10,Gazebo,gazebosim/gz-sim,[],robotic-simulators,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-04-08 20:56:32,2025-04-08 18:06:42,7138.0,34.0,290.0,16.0,1942.0,368.0,536.0,863.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,153.0,21,True,2,https://gazebosim.org/api/sim/9/,,,
11,Gazebo Classic,gazebosim/gazebo-classic,[],robotic-simulators,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,490.0,31.0,337.0,1466.0,1588.0,1245.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,19,True,2,,Apache-2,,
12,RotorS,ethz-asl/rotors_simulator,[],aerial-simulators,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,676.0,97.0,339.0,160.0,220.0,1315.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,1,,,,
13,OpenRAVE,rdiankov/openrave,[],robotic-simulators,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-04-09 07:32:33,2024-08-16 12:00:23,10375.0,,321.0,73.0,981.0,299.0,221.0,749.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2,,,,
14,pyrobosim,sea-bass/pyrobosim,[],robotic-simulators,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-04-08 03:01:43,2025-04-08 03:01:16,474.0,16.0,49.0,15.0,232.0,10.0,105.0,310.0,2025-01-12 17:13:38,3.3.0,,,9.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,15.0,18,True,2,,,,
15,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial-simulators,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-02-11 05:33:37,2025-02-11 05:33:37,803.0,5.0,400.0,16.0,52.0,102.0,106.0,1441.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,17,True,2,,,,
16,Flightmare,uzh-rpg/flightmare,[],aerial-simulators,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,348.0,34.0,37.0,110.0,60.0,1100.0,2020-12-01 16:59:05,0.0.5,5199.0,92.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2,,,,
17,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],game,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,Apache-2,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,438.0,57.0,237.0,44.0,145.0,2197.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,1,,,,
18,mvsim,MRPT/mvsim,[],robotic-simulators,https://github.com/MRPT/mvsim,https://github.com/MRPT/mvsim,BSD-3-Clause,2014-08-10 00:24:05,2025-02-05 21:57:25,2025-02-05 21:57:09,1209.0,12.0,46.0,9.0,37.0,8.0,20.0,315.0,2024-05-09 10:28:56,0.9.4,,,8.0,Vehicle and mobile robotics simulator. C++ & Python API. Use it as a standalone application or via ROS 1 or ROS 2.,,,9.0,16,True,3,https://mvsimulator.readthedocs.io/,,,
19,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],aerial-simulators,https://pegasussimulator.github.io/PegasusSimulator/,https://github.com/PegasusSimulator/PegasusSimulator,BSD-3-Clause,2023-02-27 08:58:27,2025-03-04 20:34:41,2025-02-21 11:44:43,212.0,2.0,75.0,8.0,31.0,10.0,26.0,426.0,2024-11-01 18:42:42,4.2.0,,,5.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,,,3.0,15,True,2,,,,
20,FlightGoggles,mit-aera/FlightGoggles,[],aerial-simulators,https://flightgoggles.mit.edu/,https://github.com/mit-aera/FlightGoggles,MIT,2017-04-02 21:14:31,2024-04-01 14:38:14,2024-04-01 14:38:14,219.0,,95.0,26.0,6.0,20.0,151.0,411.0,2021-05-31 00:18:07,3.0,1568.0,18.0,18.0,A framework for photorealistic hardware-in-the-loop agile flight simulation using Unity3D and ROS. Developed by MIT..,,,9.0,15,True,2,,,,
21,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],aerial-simulators,https://ntnu-arl.github.io/aerial_gym_simulator/,https://github.com/ntnu-arl/aerial_gym_simulator,BSD-3-Clause,2023-04-04 20:48:46,2025-04-04 15:22:19,2025-04-04 15:21:46,54.0,27.0,74.0,16.0,9.0,4.0,25.0,450.0,2024-07-18 11:16:03,1.0.0,,,1.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,,,3.0,14,True,3,,,,
22,ARGoS,ilpincy/argos3,[],robotic-simulators,https://www.argos-sim.info/,https://github.com/ilpincy/argos3,,2012-11-05 19:07:02,2025-03-10 14:40:13,2025-03-10 14:39:52,1395.0,3.0,109.0,22.0,95.0,28.0,101.0,280.0,,,,,,"A parallel, multi-engine simulator for heterogeneous swarm robotics.",,,25.0,14,True,3,,,,
23,CrazyS,gsilano/CrazyS,[],aerial-simulators,https://github.com/gsilano/CrazyS,https://github.com/gsilano/CrazyS,Apache-2.0,2018-02-20 14:42:23,2022-08-11 14:59:13,2022-08-11 14:57:06,259.0,,83.0,4.0,19.0,9.0,79.0,164.0,2021-12-28 12:17:27,7.0.1,,,27.0,"CrazyS is an extension of the ROS package RotorS, aimed to modeling, developing and integrating the Crazyflie 2.0.",,,3.0,14,True,3,,,,
24,rotorpy,spencerfolk/rotorpy,[],aerial-simulators,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,MIT,2023-03-15 18:55:42,2025-03-31 19:08:12,2025-03-31 18:59:38,125.0,39.0,34.0,5.0,7.0,4.0,9.0,129.0,2025-03-31 19:08:12,1.2.0,2.0,1.0,2.0,A multirotor simulator with aerodynamics for education and research.,,,4.0,13,True,3,,,,
25,PyBullet Gym,benelot/pybullet-gym,[],ML,https://pybullet.org/,https://github.com/benelot/pybullet-gym,MIT,2018-01-05 12:35:57,2021-10-16 08:35:41,2021-03-29 09:19:09,64.0,,120.0,9.0,20.0,30.0,27.0,848.0,,,,,,Open-source implementations of OpenAI Gym MuJoCo environments for use with the OpenAI Gym Reinforcement Learning..,,,14.0,11,True,3,,,,
26,Open Dynamics Engine (ODE),thomasmarsh/ODE,[],physics-simulators,http://www.ode.org/,https://github.com/thomasmarsh/ODE,gnu-gpl and BSD-3-clause,2017-05-01 14:50:07,2024-01-17 15:31:06,2024-01-14 01:09:11,2099.0,,33.0,6.0,,1.0,1.0,158.0,,,,,,Open Dynamics Engine (ODE) github mirror from https://bitbucket.org/odedevs/ode.,,,34.0,11,True,3,,,,
27,Coppelia Sim,CoppeliaRobotics/coppeliaSimLib,[],robotic-simulators,http://coppeliarobotics.com/,https://github.com/CoppeliaRobotics/coppeliaSimLib,gnu-gpl,2019-09-27 09:21:56,2025-04-07 08:04:54,2025-04-07 08:04:48,901.0,23.0,40.0,7.0,5.0,3.0,18.0,115.0,,,,,,CoppeliaSim core library.,,,3.0,11,True,3,,,,
28,Flightgear,,[],aerial-simulators,https://www.flightgear.org/,,gnu-gpl,2015-03-04 07:33:36,2015-03-04 07:33:36,,,,31.0,,,155.0,94.0,42.0,,,,,0.0,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,,,,7,False,3,,,flightgear/flightgear,https://gitlab.com/flightgear/flightgear
29,RotorTM,arplaboratory/RotorTM,[],aerial-simulators,https://github.com/arplaboratory/RotorTM,https://github.com/arplaboratory/RotorTM,GPL-3.0,2021-12-28 23:49:46,2024-06-09 13:19:43,2024-06-09 13:19:43,205.0,,14.0,3.0,8.0,2.0,2.0,66.0,,,,,,,,,3.0,6,False,3,,,,
30,NVIDIA Isaac Sim,,[],robotic-simulators,https://developer.nvidia.com/isaac/sim,,NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,,,,,,1,False,3,,,,
31,Matlab UAV Toolbox,,[],aerial-simulators,https://www.mathworks.com/products/uav.html,,MathWorks Software License Agreement,,,,,,,,,,,,,,,,,,,,,1,False,3,,,,
32,Realflight,,[],aerial-simulators,https://www.realflight.com/,,proprietary software license,,,,,,,,,,,,,,,,,,,,,1,False,3,,,,
33,RobotBuilder,,[],robotic-simulators,https://new.abb.com/products/robotics/software-and-digital/robotstudio,,Commercial software,,,,,,,,,,,,,,,,,,,,,1,False,3,,,,
