,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,trending,gitlab_id,gitlab_url,docs_url,update_at
10,Webots,cyberbotics/webots,,robotics,Apache-2.0,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,2018-11-05 14:09:10,2025-05-13 23:15:19,2025-04-22 10:52:50,15703.0,13.0,1744.0,73.0,4627.0,216.0,1642.0,3580.0,2025-02-04 12:36:33,R2025a,1630224.0,21171.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,,,,,,,,,,
11,Wren (Webots),cyberbotics/webots,[],render,Apache-2.0,https://cyberbotics.com/,https://github.com/cyberbotics/webots,2018-11-05 14:09:10,2025-05-13 23:15:19,2025-04-22 10:52:50,15703.0,13.0,1744.0,73.0,4627.0,216.0,1642.0,3580.0,2025-02-04 12:36:33,R2025a,1630224.0,21171.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,,,,,,,,,,
12,OGRE,OGRECave/ogre,[],render,MIT,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,2015-11-29 15:57:03,2025-05-11 10:00:57,2025-05-11 10:00:57,12918.0,62.0,984.0,155.0,2439.0,127.0,746.0,4223.0,2025-02-02 15:00:33,14.3.4,3723.0,36.0,81.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,335.0,28,True,2.0,,,,,,,,,,,,,
13,Bullet Physics SDK,bulletphysics/bullet3,[],physics,zlib,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,1.0,2853.0,413.0,1919.0,233.0,1790.0,13337.0,2022-04-24 23:54:27,3.25,5562.0,49.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,308.0,27,True,2.0,,,,,,,,,,,,,
14,Project CHRONO,projectchrono/chrono,,physics,BSD 3-Clause,https://projectchrono.org,https://github.com/projectchrono/chrono,2013-09-03 15:34:23,2025-05-14 14:06:02,2025-05-14 13:57:51,18065.0,268.0,479.0,114.0,250.0,101.0,218.0,2391.0,2024-07-03 06:11:30,9.0.1,8744.0,178.0,5.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,128.0,27,True,2.0,,,,,,,,,,,,,
15,BRAX,google/brax,,physics,Apache-2,https://github.com/google/brax,https://github.com/google/brax,2021-06-02 21:45:19,2025-05-12 20:49:22,2025-05-12 20:48:52,328.0,17.0,284.0,33.0,99.0,78.0,304.0,2662.0,2025-04-11 21:54:04,0.12.3,,,31.0,Massively parallel rigidbody physics simulation on accelerator hardware.,471.0,471.0,40.0,26,True,2.0,,,,,,,,,,,,,
16,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,BSD-3-Clause,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,2022-11-16 23:55:13,2025-05-14 18:14:52,2025-05-14 13:33:19,980.0,187.0,1694.0,45.0,637.0,229.0,1116.0,3597.0,2025-04-24 15:13:49,2.1.0,,,14.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,120.0,25,True,1.0,,,,,,,,,,,,,
17,AI2-thor,allenai/ai2thor,,ml,Apache-2.0,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,2017-10-17 18:00:39,2025-05-14 01:29:02,2025-03-04 06:54:00,7766.0,3.0,232.0,67.0,594.0,251.0,370.0,1373.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,363.0,363.0,49.0,25,True,1.0,,,,,,,,,,,,,
18,ESMINI,esmini/esmini,,domain,MPL-2,https://github.com/esmini/esmini,https://github.com/esmini/esmini,2019-05-03 07:49:16,2025-05-14 15:11:58,2025-05-13 19:06:37,3388.0,80.0,228.0,26.0,141.0,173.0,385.0,841.0,2025-05-13 19:53:39,2.46.3,25238.0,382.0,98.0,a basic OpenSCENARIO player.,,,83.0,25,True,2.0,,,,,,,,,,,,,
19,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,Apache-2.0,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,2016-06-16 12:51:55,2025-05-14 06:41:20,2025-05-14 06:41:20,2195.0,71.0,322.0,113.0,1546.0,11.0,609.0,3332.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,
20,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,Apache-2.0,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,2016-06-16 12:51:55,2025-05-14 06:41:20,2025-05-14 06:41:20,2195.0,71.0,322.0,113.0,1546.0,11.0,609.0,3332.0,2025-05-13 09:24:45,1.4.315,,,100.0,Open-Source Vulkan C++ API.,,,92.0,24,True,3.0,,,,,,,,,,,,,
21,JSBSim,JSBSim-Team/jsbsim,[],physics,LGPL-2.1,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,2017-12-17 20:18:32,2025-05-10 17:59:04,2025-05-10 17:59:04,5950.0,27.0,477.0,56.0,398.0,39.0,311.0,1560.0,2025-03-22 12:12:22,1.2.2,27263.0,446.0,19.0,An open source flight dynamics & control software library.,,,69.0,24,True,2.0,,,,,,,,,,,,,
22,IR-SIM,hanruihua/ir-sim,,flatsim,MIT,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,2022-05-30 03:51:40,2025-05-13 15:37:10,2025-05-13 07:42:39,1249.0,235.0,60.0,6.0,35.0,1.0,13.0,484.0,2025-05-06 15:45:46,2.4.4,,1975.0,30.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",10.0,10.0,6.0,24,True,1.0,,ir-sim,https://pypi.org/project/ir-sim,1975.0,,,,,,,,,
23,DART,dartsim/dart,[],physics,BSD-2-Clause,http://dartsim.github.io/,https://github.com/dartsim/dart,2011-09-19 21:53:51,2025-05-14 17:08:04,2025-05-14 17:07:59,6114.0,19.0,280.0,61.0,1221.0,156.0,514.0,961.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,
24,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,mit,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,2022-08-22 09:24:58,2025-04-16 10:16:26,2025-04-16 10:05:50,5135.0,56.0,48.0,9.0,30.0,17.0,34.0,162.0,2025-04-16 10:16:26,5.5-v3.3,2786.0,214.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,22,True,1.0,,,,,,,,,,,,,
25,jaxsim,ami-iit/jaxsim,,ml,BSD-3-Clause,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,2022-01-31 16:44:28,2025-05-13 14:08:47,2025-05-13 13:47:09,2059.0,195.0,14.0,17.0,356.0,11.0,57.0,122.0,2025-04-22 15:56:40,0.7.0,,4348.0,10.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,12.0,22,True,2.0,,jaxsim,https://pypi.org/project/jaxsim,3798.0,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-04-29 13:51:13.239,8251.0,,,,,
26,Habitat Sim,facebookresearch/habitat-sim,,ml,MIT,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,2019-02-04 23:14:28,2025-05-13 19:58:37,2025-04-24 22:53:07,1639.0,5.0,453.0,79.0,1739.0,183.0,635.0,2944.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,21,True,2.0,,,,,,,,,,,,,
27,Simbody,simbody/simbody,[],physics,Apache-2.0,https://simtk.org/home/simbody,https://github.com/simbody/simbody,2013-08-16 00:21:53,2025-05-14 11:47:29,2025-05-11 22:32:32,5022.0,6.0,466.0,150.0,486.0,139.0,191.0,2404.0,2019-12-08 22:16:03,Simbody-3.7,,,10.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,60.0,21,True,2.0,,,,,,,,,,,,,
28,SVL Simulator,lgsvl/simulator,,domain,,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,761.0,84.0,41.0,614.0,1490.0,2357.0,2021-10-04 19:40:16,2021.3,97222.0,1262.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,2.0,,,,,,,,,,,,,
29,ManiSkill,haosulab/ManiSkill,,ml,Apache-2.0,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,2022-08-02 04:56:58,2025-05-13 00:25:43,2025-05-13 00:25:43,516.0,67.0,261.0,20.0,478.0,98.0,456.0,1586.0,2025-03-17 17:20:30,3.0.0b20,,,34.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,42.0,21,True,2.0,,,,,,,,,,,,,
30,Gazebo Classic,gazebosim/gazebo-classic,,robotics,Apache-2,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,490.0,32.0,337.0,1466.0,1588.0,1256.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,1.0,,,,,,,,,,,,,
31,Gazebo,gazebosim/gz-sim,,robotics,Apache-2.0,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,2020-04-15 09:17:50,2025-05-14 17:51:12,2025-04-29 00:59:03,7142.0,27.0,293.0,17.0,1960.0,399.0,541.0,888.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,153.0,21,True,1.0,https://gazebosim.org/api/sim/9/,,,,,,,,,,,,
32,AWSim,tier4/AWSIM,,domain,apache-2,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,2022-10-14 00:48:24,2025-04-16 09:10:53,2025-04-16 09:04:58,1121.0,4.0,93.0,64.0,283.0,37.0,70.0,578.0,2024-11-15 12:44:00,1.3.1,58632.0,1891.0,10.0,Open source simulator for self-driving vehicles.,,,30.0,21,True,2.0,,,,,,,,,,,,,
33,Roboschool,openai/roboschool,,robotics,mit,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,280.0,32.0,75.0,109.0,2148.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",191.0,191.0,9.0,20,False,2.0,,,,,,,,,,,,,
34,pyrobosim,sea-bass/pyrobosim,[],flatsim,MIT,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,2022-01-17 13:04:18,2025-05-13 18:55:36,2025-05-13 18:55:36,482.0,18.0,53.0,14.0,239.0,7.0,108.0,327.0,2025-04-16 03:28:30,4.0.0,,492.0,10.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,17.0,20,True,2.0,,pyrobosim,https://pypi.org/project/pyrobosim,492.0,,,,,,,,,
35,Self Driving Car,udacity/self-driving-car-sim,,domain,mit,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1464.0,226.0,16.0,53.0,70.0,3947.0,2017-07-11 20:07:27,T3_v1.2,70664.0,736.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,
36,LocoMuJoCo,robfiras/loco-mujoco,,ml,MIT,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,2023-06-22 17:23:08,2025-04-18 12:03:55,2025-04-18 11:54:58,694.0,177.0,86.0,13.0,14.0,21.0,33.0,965.0,2025-04-18 12:03:55,1.0.1,,,6.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,13.0,19,True,2.0,,,,,,,,,-1.0,,,,
37,MetaDrive,metadriverse/metadrive/,,ml,Apache-2.0,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,2021-08-28 08:42:42,2025-05-12 06:21:57,2025-05-12 06:21:55,822.0,13.0,128.0,16.0,435.0,78.0,309.0,907.0,2024-12-06 17:31:09,MetaDrive-0.4.3,41850.0,951.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,2.0,,,,,,,,,,,,,
38,RotorS,ethz-asl/rotors_simulator,[],aerial,mit,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,678.0,97.0,339.0,160.0,220.0,1326.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,
39,OpenRAVE,rdiankov/openrave,[],robotics,Apache-2 and LGPL-3,https://openrave.org/,https://github.com/rdiankov/openrave,2012-09-14 05:40:51,2025-05-14 15:57:53,2024-08-16 12:00:23,10375.0,,322.0,73.0,990.0,299.0,221.0,757.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,
40,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,BSD-3-Clause,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,2022-10-04 09:07:32,2025-04-07 15:09:34,2025-04-07 15:09:34,33.0,8.0,460.0,56.0,42.0,33.0,116.0,3923.0,2025-03-25 09:26:22,107.0-physx-5.6.0,,,18.0,NVIDIA PhysX SDK.,,,7.0,17,True,3.0,,,,,,,,,-1.0,,,,
41,Flightmare,uzh-rpg/flightmare,[],aerial,MIT,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,351.0,34.0,37.0,112.0,60.0,1131.0,2020-12-01 16:59:05,0.0.5,5306.0,93.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,
42,Holodeck,BYU-PCCL/holodeck,,ml,MIT,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,48.0,196.0,584.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,,,,,,,,,,
43,TPE (part of gz-physics),gazebosim/gz-physics,[],physics,Apache-2.0,https://gazebosim.org/,https://github.com/gazebosim/gz-physics,2020-04-15 09:18:03,2025-05-05 22:42:37,2025-04-30 22:36:01,1851.0,11.0,45.0,16.0,602.0,72.0,72.0,68.0,2025-01-16 23:48:49,gz-physics8_8.0.0,,,6.0,Abstract physics interface designed to support simulation and rapid development of robot applications.,,,47.0,17,True,3.0,,,,,,,,,,,,,
44,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,Apache-2,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,442.0,58.0,237.0,46.0,145.0,2251.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,2.0,,,,,,,,,,,,,
45,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,MIT,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,2020-08-10 07:38:09,2025-02-11 05:33:37,2025-02-11 05:33:37,803.0,,407.0,17.0,52.0,102.0,106.0,1487.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,16,True,2.0,,,,,,,,,,,,,
46,RoboVerse,RoboVerseOrg/RoboVerse,,ml,Apache-2.0,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,2025-04-04 03:00:06,2025-05-13 06:39:37,2025-05-13 06:38:58,285.0,285.0,66.0,13.0,79.0,41.0,52.0,1130.0,,,,,,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,13.0,16,True,3.0,,,,,,,,,,,,,
47,UUV Simulator,uuvsimulator/uuv_simulator,,domain,apache-2,https://uuvsimulator.github.io/,https://github.com/uuvsimulator/uuv_simulator,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,,312.0,49.0,285.0,106.0,75.0,770.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,16,False,3.0,,,,,,,,,,,,,
48,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,Apache-2.0,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,2025-03-17 22:35:01,2025-05-14 15:45:44,2025-05-14 15:45:42,542.0,542.0,43.0,27.0,176.0,36.0,43.0,479.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,15.0,16,True,3.0,,,,,,,,,,,,,
49,Morse,morse-simulator/morse,,robotics,OFL-1.1,http://morse-simulator.github.io/,https://github.com/morse-simulator/morse,2010-08-23 14:41:06,2022-05-13 00:19:02,2022-03-22 21:33:51,4356.0,,143.0,38.0,389.0,98.0,340.0,363.0,2016-02-12 09:28:10,1.4,,,4.0,The Modular OpenRobots Simulation Engine.,,,59.0,16,False,2.0,,,,,,,,,,,,,
50,ARGoS,ilpincy/argos3,[],robotics,MIT,https://www.argos-sim.info/,https://github.com/ilpincy/argos3,2012-11-05 19:07:02,2025-05-03 19:23:32,2025-05-03 19:22:55,1397.0,5.0,110.0,22.0,95.0,28.0,101.0,281.0,,,,,,"A parallel, multi-engine simulator for heterogeneous swarm robotics.",,,25.0,16,True,2.0,,,,,,,,,,,,,
51,rotorpy,spencerfolk/rotorpy,[],aerial,MIT,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,2023-03-15 18:55:42,2025-04-25 20:16:41,2025-04-25 20:14:51,209.0,88.0,38.0,6.0,7.0,4.0,10.0,154.0,2025-04-25 20:17:49,2.0.0,3.0,1.0,3.0,A multirotor simulator with aerodynamics for education and research.,,,5.0,16,True,2.0,,,,,,,,,,,,,
52,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,[],physics,NVIDIA Omniverse License Agreement,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIAGameWorks/PhysX,2018-12-05 14:30:22,2023-09-05 08:32:01,2022-11-09 12:26:46,12.0,,775.0,145.0,60.0,309.0,307.0,3351.0,2018-12-20 16:57:26,4.0.0,,,2.0,NVIDIA PhysX SDK.,,,3.0,15,True,3.0,,,,,,,,,,,,,
53,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,Apache-2.0,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,2024-12-03 22:39:09,2025-05-14 07:16:54,2025-05-14 07:16:06,101.0,25.0,117.0,16.0,34.0,13.0,58.0,1004.0,2025-03-07 19:25:32,0.0.4,,,3.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,15,True,3.0,,,,,,,,,,,,,
54,Gibson,StanfordVL/GibsonEnv,,ml,MIT,http://gibsonenv.stanford.edu/,https://github.com/StanfordVL/GibsonEnv,2017-12-18 20:12:35,2024-04-15 12:20:11,2021-05-12 18:03:25,1156.0,,145.0,29.0,26.0,47.0,71.0,905.0,,,,,2.0,Gibson Environments: Real-World Perception for Embodied Agents.,,,9.0,15,True,3.0,,,,,,,,,,,,,
55,PyRep,stepjam/PyRep,,ml,MIT,https://github.com/stepjam/PyRep,https://github.com/stepjam/PyRep,2019-06-26 12:15:58,2024-08-16 12:54:08,2024-07-02 08:49:17,153.0,,159.0,12.0,101.0,5.0,293.0,735.0,2024-01-28 14:47:39,4.1.0,,,1.0,A toolkit for robot learning research.,,,20.0,15,True,3.0,,,,,,,,,,,,,
56,Safe Control Gym,utiasDSL/safe-control-gym,,ml,MIT,https://www.dynsyslab.org/safe-robot-learning/,https://github.com/utiasDSL/safe-control-gym,2021-08-04 22:14:15,2025-05-05 20:40:19,2025-05-05 20:40:05,535.0,8.0,132.0,12.0,129.0,7.0,50.0,720.0,2024-10-21 14:55:01,1.0.0,,,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,18.0,15,True,3.0,,,,,,,,,,,,,
57,Ros2 For Unity,RobotecAI/ros2-for-unity,,robotics,Apache-2.0,https://github.com/RobotecAI/ros2-for-unity,https://github.com/RobotecAI/ros2-for-unity,2021-08-19 12:52:18,2024-09-30 08:17:55,2024-09-30 08:17:55,96.0,,59.0,9.0,31.0,38.0,55.0,535.0,2023-03-31 19:37:08,1.3.0,6963.0,154.0,4.0,High-performance ROS2 solution for Unity3D.,,,12.0,15,True,3.0,,,,,,,,,,,,,
58,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],aerial,BSD-3-Clause,https://ntnu-arl.github.io/aerial_gym_simulator/,https://github.com/ntnu-arl/aerial_gym_simulator,2023-04-04 20:48:46,2025-05-08 15:47:35,2025-05-08 15:46:54,54.0,5.0,76.0,15.0,9.0,5.0,27.0,486.0,2025-04-28 07:50:13,2.0.0,,,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,,,3.0,15,True,2.0,,,,,,,,,,,,,
