,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,commint_count,gitlab_id,gitlab_url
11,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-09-09 17:50:47,2025-09-09 17:50:47,26613.0,167.0,2312.0,145.0,10939.0,3305.0,4501.0,8508.0,2025-07-22 17:21:09,2505.1,10143.0,202.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,317.0,29,True,1.0,,,,,,,,,,,,,,,
12,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-09-09 17:50:47,2025-09-09 17:50:47,26613.0,167.0,2312.0,145.0,10939.0,3305.0,4501.0,8508.0,2025-07-22 17:21:09,2505.1,10143.0,202.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,317.0,29,True,1.0,,,,,,,,,,,,,,,
13,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-09-10 07:34:40,2025-09-10 06:46:18,1340.0,323.0,2253.0,51.0,922.0,245.0,1530.0,4824.0,2025-08-29 17:58:55,2.2.1,,,17.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,160.0,28,True,1.0,,,,,,,,,,,,,,,
14,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-09-05 16:27:31,2025-09-03 16:28:50,13051.0,71.0,1010.0,154.0,2505.0,141.0,770.0,4348.0,2025-09-05 16:27:31,14.4.1,3725.0,35.0,83.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,339.0,28,True,2.0,,,,,,,,,,,,,,,
15,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-09-09 23:15:29,2025-08-26 19:42:27,15728.0,23.0,1800.0,74.0,4660.0,224.0,1653.0,3774.0,2025-02-04 12:36:33,R2025a,1699000.0,20975.0,17.0,Webots Robot Simulator.,,,140.0,28,True,1.0,,,,,,,,,,,,,,,
16,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-09-09 23:15:29,2025-08-26 19:42:27,15728.0,23.0,1800.0,74.0,4660.0,224.0,1653.0,3774.0,2025-02-04 12:36:33,R2025a,1699000.0,20975.0,17.0,Webots Robot Simulator.,,,140.0,28,True,2.0,,,,,,,,,,,,,,,
17,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,,2890.0,412.0,1925.0,242.0,1791.0,13726.0,2022-04-24 23:54:27,3.25,5568.0,48.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,1.0,,,,,,,,,,,,,,,
18,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-09-09 16:01:29,2025-09-09 15:45:46,18377.0,170.0,502.0,113.0,270.0,99.0,230.0,2521.0,2025-06-28 16:26:10,8.1.0,8907.0,168.0,6.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,132.0,27,True,1.0,,,,,,,,,,,,,,,
19,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-09-09 20:13:16,2025-09-09 20:12:34,356.0,21.0,302.0,34.0,105.0,85.0,312.0,2848.0,2025-08-15 18:50:11,0.13.0,,,34.0,Massively parallel rigidbody physics simulation on accelerator hardware.,532.0,532.0,48.0,26,True,2.0,,,,,,,,,,,,,,,
20,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/Jondolf/avian,Apache-2.0,2022-05-29 11:28:38,2025-09-09 17:47:44,2025-08-24 13:19:19,1065.0,42.0,173.0,15.0,457.0,137.0,185.0,2356.0,2025-06-05 09:11:53,0.3.1,,,12.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,339.0,339.0,66.0,25,True,2.0,,,,,,,,,,,,,,,
21,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-09-09 23:20:21,2025-05-29 18:14:02,7768.0,,249.0,66.0,597.0,267.0,374.0,1503.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,383.0,383.0,50.0,25,True,2.0,,,,,,,,,,,,,,,
22,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,240.0,20.0,65.0,166.0,75.0,1433.0,,,,133288.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3084.0,3084.0,23.0,25,True,3.0,pyrender,https://pypi.org/project/pyrender,133288.0,,,,,,,,,,,,
23,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-09-10 09:09:16,2025-09-01 11:05:08,3522.0,97.0,237.0,25.0,147.0,179.0,403.0,859.0,2025-09-01 12:16:44,2.50.6,28101.0,501.0,100.0,a basic OpenSCENARIO player.,,,85.0,25,True,2.0,,,,,,,,,,,,,,,
24,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2025-09-08 12:55:07,2025-07-24 19:48:59,459.0,6.0,113.0,15.0,203.0,15.0,66.0,761.0,2025-07-24 19:50:03,1.4.1,,29499.0,14.0,A collection of robotics simulation environments for reinforcement learning.,301.0,301.0,34.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,29499.0,,,,,,,,,,,,
25,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-09-04 11:28:57,2025-09-04 11:28:57,2274.0,72.0,329.0,113.0,1636.0,11.0,631.0,3483.0,2025-09-01 11:38:10,1.4.326,,,100.0,Open-Source Vulkan C++ API.,,,94.0,24,True,3.0,,,,,,,,,,,,,,,
26,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-09-04 11:28:57,2025-09-04 11:28:57,2274.0,72.0,329.0,113.0,1636.0,11.0,631.0,3483.0,2025-09-01 11:38:10,1.4.326,,,100.0,Open-Source Vulkan C++ API.,,,94.0,24,True,3.0,,,,,,,,,,,,,,,
27,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2025-08-29 07:42:25,2025-08-29 07:41:01,1414.0,6.0,778.0,29.0,116.0,74.0,407.0,2998.0,2024-08-19 21:58:05,1.10.1,,5560.0,16.0,A minimalist environment for decision-making in autonomous driving.,,,46.0,24,True,1.0,highway-env,https://pypi.org/project/highway-env,5560.0,,,,,,,,,,,,
28,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-09-10 08:27:24,2025-09-10 08:27:24,5974.0,15.0,499.0,57.0,426.0,39.0,320.0,1708.0,2025-06-07 19:39:51,1.2.3,30418.0,467.0,20.0,An open source flight dynamics & control software library.,,,71.0,24,True,2.0,,,,,,,,,,,,,,,
29,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2025-07-31 00:09:14,2025-07-31 00:09:14,957.0,5.0,281.0,29.0,313.0,5.0,231.0,1568.0,2025-06-14 01:43:48,3.0.0,,2156.0,2.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,,,39.0,24,True,2.0,metaworld,https://pypi.org/project/metaworld,2156.0,,,,,,,,,,,,
30,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-09-10 08:28:52,2025-09-10 08:28:00,1307.0,186.0,98.0,61.0,311.0,18.0,97.0,613.0,2025-08-01 06:40:34,2.0.0,66293.0,1894.0,11.0,Open source simulator for self-driving vehicles.,,,32.0,24,True,3.0,,,,,,,,,,,,,,,
31,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-09-09 07:32:10,2025-09-09 07:32:03,1386.0,99.0,72.0,7.0,85.0,4.0,27.0,581.0,2025-08-31 14:38:31,2.7.2,,1290.0,41.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",12.0,12.0,10.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,1290.0,,,,,,,,,,,,
32,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-09-10 05:32:55,2025-09-09 21:09:30,12065.0,191.0,82.0,10.0,439.0,90.0,298.0,229.0,2025-08-30 15:57:26,2.8.0,,,10.0,Astrodynamics simulation framework.,,,116.0,23,True,1.0,,,,,,,,,,,,,,,
33,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-08-25 15:16:28,2025-08-25 15:16:27,5032.0,8.0,470.0,150.0,495.0,135.0,202.0,2448.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,22,True,2.0,,,,,,,,,,,,,,,
34,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-09-09 01:25:51,2025-09-05 23:29:51,579.0,49.0,336.0,21.0,544.0,93.0,587.0,2043.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,51.0,22,True,2.0,,,,,,,,,,,,,,,
35,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-09-10 02:59:26,2025-09-07 15:17:44,6162.0,35.0,280.0,62.0,1287.0,155.0,515.0,1001.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,,
36,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,764.0,85.0,41.0,614.0,1490.0,2389.0,2021-10-04 19:40:16,2021.3,97624.0,1205.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,,
37,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,496.0,32.0,337.0,1466.0,1588.0,1279.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,,
38,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-09-10 04:59:34,2025-09-09 21:24:23,7362.0,78.0,326.0,20.0,2083.0,429.0,572.0,1022.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,164.0,21,True,2.0,,,,,https://gazebosim.org/api/sim/9/,,,,,,,,,,
39,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,160.0,44.0,36.0,127.0,214.0,765.0,2023-02-19 08:29:49,2.2.2,292.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,,
40,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-07-24 18:24:19,2025-07-24 16:37:40,2459.0,10.0,228.0,16.0,296.0,38.0,519.0,549.0,2025-07-24 18:30:37,3.0.4,,,18.0,Virtual RobotX (VRX) resources.,,,36.0,21,True,1.0,,,,,,,,,,,,,,,
41,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-09-09 15:47:57.572000,2025-09-09 12:29:59,2187.0,82.0,17.0,18.0,386.0,17.0,58.0,148.0,2025-09-09 12:31:39,0.8.0,,2211.0,11.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,13.0,21,True,2.0,jaxsim,https://pypi.org/project/jaxsim,1636.0,1.0,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-09-09 15:47:57.572,10934.0,,,,,,
42,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-08-29 14:41:45,2025-04-24 22:53:07,1639.0,,467.0,80.0,1740.0,192.0,636.0,3160.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,20,True,2.0,,,,,,,,,,,,,,,
43,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,278.0,32.0,75.0,109.0,2154.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,,
44,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-09-09 15:08:03,2025-09-09 15:08:02,1464.0,614.0,71.0,34.0,517.0,37.0,149.0,715.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,24.0,20,True,3.0,,,,1.0,,,,,,,,,,,
45,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-08-19 03:12:36,2025-08-19 03:12:26,516.0,31.0,61.0,16.0,268.0,6.0,117.0,348.0,2025-08-19 03:17:20,4.3.0,,378.0,13.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,18.0,20,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,378.0,,,,,,,,,,,,
46,Jiminy,duburcqa/jiminy,,ml,https://github.com/duburcqa/jiminy,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-09-05 07:35:57,2025-05-01 09:16:25,638.0,,27.0,4.0,750.0,35.0,92.0,268.0,2025-02-09 14:27:31,1.8.12,,1560.0,100.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,10.0,10.0,9.0,20,True,2.0,jiminy-py,https://pypi.org/project/jiminy-py,1560.0,,,,,,,,,,,,
47,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-07-30 16:37:20,2025-04-16 10:05:50,5135.0,,77.0,10.0,32.0,38.0,39.0,221.0,2025-04-16 10:16:26,5.5-v3.3,5703.0,335.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,20,True,1.0,,,,,,,,,,,,,,,
48,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1464.0,225.0,16.0,53.0,70.0,3964.0,2017-07-11 20:07:27,T3_v1.2,71235.0,712.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,,
49,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-06-04 17:04:13,2024-07-03 20:22:46,551.0,,338.0,65.0,616.0,14.0,193.0,1187.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,,
50,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2025-08-12 19:32:20,2025-07-17 18:25:36,1690.0,4.0,55.0,17.0,28.0,56.0,143.0,643.0,,,4478.0,279.0,2.0,SAPIEN Embodied AI Platform.,227.0,227.0,15.0,19,True,2.0,,,,,,,,,,,,,,,
51,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-09-05 23:37:50,2025-08-26 02:34:42,799.0,94.0,27.0,6.0,499.0,16.0,12.0,204.0,2025-08-18 11:19:25,0.2.10,,826.0,82.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,,,9.0,19,True,2.0,ksim,https://pypi.org/project/ksim,826.0,-1.0,,,,,,,,,,,
52,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-09-05 02:42:28,2025-09-05 02:41:31,142.0,34.0,188.0,17.0,51.0,19.0,98.0,1399.0,2025-06-23 18:39:59,0.0.5,,,4.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,18,True,3.0,,,,,,,,,,,,,,,
53,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,681.0,97.0,339.0,161.0,220.0,1380.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,1.0,,,,,,,,,,,,,,,
54,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2025-09-09 15:25:56,2025-09-09 15:25:07,828.0,291.0,79.0,21.0,366.0,147.0,226.0,889.0,,,,,,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,27.0,18,True,2.0,,,,,,,,,,,,,,,
55,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-09-04 16:15:53,2024-08-16 12:00:23,10375.0,,325.0,73.0,1007.0,299.0,222.0,785.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,,
56,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-08-30 15:42:10,2025-08-30 15:42:06,809.0,6.0,436.0,18.0,53.0,107.0,108.0,1613.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,18.0,17,True,2.0,,,,,,,,,,,,,,,
57,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-09-09 05:13:47,2025-09-08 05:42:02,757.0,429.0,121.0,14.0,312.0,57.0,90.0,1423.0,,,1.0,1.0,2.0,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,30.0,17,True,3.0,,,,,,,,,,,,,,,
