,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,trending,pypi_id,pypi_url,new_addition,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,commint_count,gitlab_id,gitlab_url
10,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-08-19 15:04:32,2025-08-19 15:04:32,26581.0,187.0,2303.0,143.0,10913.0,3296.0,4501.0,8475.0,2025-07-22 17:21:09,2505.1,10085.0,205.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,1.0,,-1.0,,,,,,,,,,,,,
11,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2025-08-19 15:04:32,2025-08-19 15:04:32,26581.0,187.0,2303.0,143.0,10913.0,3296.0,4501.0,8475.0,2025-07-22 17:21:09,2505.1,10085.0,205.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,314.0,29,True,1.0,,-1.0,,,,,,,,,,,,,
12,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2025-08-15 21:05:10,2025-08-14 21:19:09,13043.0,110.0,1004.0,153.0,2495.0,139.0,769.0,4323.0,2025-07-26 11:09:41,14.4.0,3725.0,35.0,82.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,339.0,28,True,2.0,,,,,,,,,,,,,,,
13,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-08-20 06:09:45,2025-08-20 06:09:44,15727.0,23.0,1791.0,74.0,4656.0,219.0,1653.0,3732.0,2025-02-04 12:36:33,R2025a,1686082.0,21076.0,17.0,Webots Robot Simulator.,,,139.0,28,True,1.0,,,,,,,,,,,,,,,
14,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2025-08-20 06:09:45,2025-08-20 06:09:44,15727.0,23.0,1791.0,74.0,4656.0,219.0,1653.0,3732.0,2025-02-04 12:36:33,R2025a,1686082.0,21076.0,17.0,Webots Robot Simulator.,,,139.0,28,True,2.0,,,,,,,,,,,,,,,
15,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2025-08-19 23:40:44,2025-08-19 23:01:58,18363.0,208.0,496.0,113.0,268.0,103.0,224.0,2501.0,2025-06-28 16:26:10,8.1.0,8884.0,170.0,6.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,131.0,28,True,1.0,,,,,,,,,,,,,,,
16,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,,2888.0,413.0,1924.0,242.0,1791.0,13657.0,2022-04-24 23:54:27,3.25,5567.0,48.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,311.0,27,True,1.0,,,,,,,,,,,,,,,
17,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-08-20 07:54:44,2025-08-20 00:13:06,1277.0,284.0,2146.0,49.0,830.0,225.0,1475.0,4648.0,2025-08-07 19:42:33,2.2.0,,,16.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,146.0,27,True,1.0,,,,,,,,,,,,,,,
18,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-08-18 01:17:33,2025-08-06 13:24:38,9714.0,131.0,425.0,65.0,1351.0,92.0,1055.0,2625.0,2025-05-21 12:58:04,3.7.0,76584.0,617.0,87.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,98.0,27,True,1.0,,,pin,https://pypi.org/project/pin,True,,,,,,,,,,
19,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-08-19 22:12:56,2025-08-19 22:12:32,353.0,22.0,299.0,34.0,103.0,83.0,311.0,2818.0,2025-08-15 18:50:11,0.13.0,,,34.0,Massively parallel rigidbody physics simulation on accelerator hardware.,523.0,523.0,46.0,26,True,2.0,,,,,,,,,,,,,,,
20,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/Jondolf/avian,Apache-2.0,2022-05-29 11:28:38,2025-08-19 18:40:13,2025-08-19 18:40:12,1062.0,44.0,172.0,15.0,453.0,139.0,182.0,2324.0,2025-06-05 09:11:53,0.3.1,,,12.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,338.0,338.0,66.0,26,True,2.0,,1.0,,,,,,,,,,,,,
21,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-08-20 10:13:58,2025-08-18 13:50:08,3501.0,108.0,234.0,25.0,145.0,184.0,396.0,855.0,2025-08-18 14:52:27,2.50.2,28146.0,453.0,100.0,a basic OpenSCENARIO player.,,,85.0,25,True,2.0,,,,,,,,,,,,,,,
22,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-08-18 06:33:25,2025-08-18 06:33:25,2264.0,68.0,328.0,113.0,1621.0,7.0,627.0,3456.0,2025-08-11 11:36:02,1.4.325,,,100.0,Open-Source Vulkan C++ API.,,,94.0,24,True,3.0,,,,,,,,,,,,,,,
23,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-08-18 06:33:25,2025-08-18 06:33:25,2264.0,68.0,328.0,113.0,1621.0,7.0,627.0,3456.0,2025-08-11 11:36:02,1.4.325,,,100.0,Open-Source Vulkan C++ API.,,,94.0,24,True,3.0,,,,,,,,,,,,,,,
24,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-08-11 20:24:03,2025-08-07 15:53:07,5967.0,14.0,492.0,58.0,419.0,40.0,318.0,1679.0,2025-06-07 19:39:51,1.2.3,29993.0,468.0,20.0,An open source flight dynamics & control software library.,,,70.0,24,True,2.0,,,,,,,,,,,,,,,
25,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-08-20 09:16:37,2025-05-29 18:14:02,7768.0,2.0,246.0,66.0,596.0,267.0,373.0,1490.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,383.0,383.0,49.0,24,True,2.0,,,,,,,,,,,,,,,
26,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-08-20 09:36:08,2025-08-20 04:15:45,1213.0,92.0,97.0,62.0,297.0,35.0,80.0,602.0,2025-08-01 06:40:34,2.0.0,64987.0,1911.0,11.0,Open source simulator for self-driving vehicles.,,,32.0,24,True,3.0,,,,,,,,,,,,,,,
27,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-08-18 18:34:11,2025-08-18 18:34:11,5029.0,5.0,469.0,150.0,493.0,137.0,200.0,2439.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,61.0,22,True,2.0,,,,,,,,,,,,,,,
28,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-08-20 01:35:40,2025-08-19 22:02:09,572.0,50.0,321.0,21.0,533.0,98.0,565.0,1947.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,48.0,22,True,2.0,,,,,,,,,,,,,,,
29,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2025-07-31 00:09:14,2025-07-31 00:09:14,957.0,18.0,279.0,29.0,313.0,5.0,231.0,1550.0,2025-06-14 01:43:48,3.0.0,,,2.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,,,39.0,22,True,2.0,,,metaworld,https://pypi.org/project/metaworld,True,,,,,,,,,,
30,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-08-20 03:13:23,2025-08-16 22:08:34,6157.0,33.0,281.0,62.0,1278.0,155.0,515.0,992.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,,
31,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-08-19 22:59:03,2025-08-19 19:02:50,11983.0,169.0,79.0,11.0,427.0,89.0,292.0,226.0,2025-04-20 14:29:30,2.7.0,,,9.0,Astrodynamics simulation framework.,,,114.0,22,True,1.0,,,,,,,,,,,,,,,
32,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2025-07-10 14:15:25,2025-07-10 14:14:04,1413.0,5.0,778.0,29.0,115.0,74.0,407.0,2988.0,2024-08-19 21:58:05,1.10.1,,,16.0,A minimalist environment for decision-making in autonomous driving.,,,45.0,21,True,1.0,,,highway-env,https://pypi.org/project/highway-env,True,,,,,,,,,,
33,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,765.0,85.0,41.0,614.0,1490.0,2384.0,2021-10-04 19:40:16,2021.3,97529.0,1219.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,,
34,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,495.0,32.0,337.0,1466.0,1588.0,1278.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,,
35,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-08-20 05:10:02,2025-08-13 20:03:21,7272.0,46.0,319.0,18.0,2045.0,428.0,561.0,998.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,159.0,21,True,2.0,https://gazebosim.org/api/sim/9/,1.0,,,,,,,,,,,,,
36,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,160.0,44.0,36.0,126.0,214.0,762.0,2023-02-19 08:29:49,2.2.2,292.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,True,,,,,,,,,,
37,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2025-08-18 20:25:15,2025-07-24 19:48:59,459.0,6.0,113.0,14.0,202.0,15.0,66.0,738.0,2025-07-24 19:50:03,1.4.1,,,14.0,A collection of robotics simulation environments for reinforcement learning.,297.0,297.0,34.0,21,True,2.0,,,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,True,,,,,,,,,,
38,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-08-19 08:49:47,2025-08-19 08:49:40,1356.0,101.0,68.0,7.0,73.0,4.0,26.0,566.0,2025-08-09 18:16:49,2.7.0,,,39.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",12.0,12.0,10.0,21,True,1.0,,,ir-sim,https://pypi.org/project/ir-sim,,,,,,,,,,,
39,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-07-24 18:24:19,2025-07-24 16:37:40,2459.0,19.0,227.0,16.0,296.0,38.0,517.0,539.0,2025-07-24 18:30:37,3.0.4,,,18.0,Virtual RobotX (VRX) resources.,,,36.0,21,True,1.0,,,,,,,,,,,,,,,
40,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-08-17 21:52:28,2025-04-24 22:53:07,1639.0,,465.0,79.0,1739.0,191.0,636.0,3131.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,20,True,2.0,,,,,,,,,,,,,,,
41,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,279.0,32.0,75.0,109.0,2155.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,,
42,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,238.0,20.0,65.0,166.0,75.0,1429.0,,,,,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3074.0,3074.0,23.0,20,True,3.0,,,pyrender,https://pypi.org/project/pyrender,,,,,,,,,,,
43,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-06-04 17:04:13,2024-07-03 20:22:46,551.0,,337.0,64.0,616.0,14.0,193.0,1181.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,20,True,2.0,,,,,,,,,,,,,,,
44,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-07-30 16:37:20,2025-04-16 10:05:50,5135.0,,75.0,10.0,31.0,38.0,38.0,208.0,2025-04-16 10:16:26,5.5-v3.3,5005.0,312.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,20,True,1.0,,,,,,,,,,,,,,,
45,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1463.0,225.0,16.0,53.0,70.0,3964.0,2017-07-11 20:07:27,T3_v1.2,71189.0,719.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,,
46,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2025-08-12 19:32:20,2025-07-17 18:25:36,1690.0,4.0,54.0,17.0,28.0,56.0,143.0,623.0,,,4063.0,270.0,2.0,SAPIEN Embodied AI Platform.,227.0,227.0,15.0,19,True,2.0,,,,,,,,,,,,,,,
47,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-08-14 09:02:46,2025-08-04 09:05:00,2113.0,33.0,17.0,18.0,380.0,14.0,58.0,145.0,2025-04-22 15:56:40,0.7.0,,586.0,10.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,13.0,19,True,2.0,,-1.0,jaxsim,https://pypi.org/project/jaxsim,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-04-29 13:51:13.239,10550.0,,,,,,
48,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,680.0,97.0,339.0,161.0,220.0,1373.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,1.0,,,,,,,,,,,,,,,
49,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-08-19 22:13:02,2025-08-19 22:12:01,130.0,27.0,175.0,18.0,45.0,16.0,89.0,1332.0,2025-06-23 18:39:59,0.0.5,,,4.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,18,True,2.0,,,,,,,,,,,,,,,
50,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-08-19 06:33:21,2024-08-16 12:00:23,10375.0,,325.0,73.0,1005.0,300.0,221.0,782.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,,
51,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-08-20 07:22:29,2025-08-20 07:22:29,1293.0,612.0,66.0,31.0,466.0,51.0,117.0,679.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,24.0,18,True,3.0,,,,,,,,,,,,,,,
52,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-08-19 03:12:36,2025-08-19 03:12:26,516.0,33.0,60.0,16.0,268.0,6.0,117.0,342.0,2025-08-19 03:17:20,4.3.0,,,13.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,18.0,18,True,2.0,,,pyrobosim,https://pypi.org/project/pyrobosim,,,,,,,,,,,
53,Flightmare,uzh-rpg/flightmare,[],aerial,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,361.0,36.0,37.0,113.0,60.0,1195.0,2020-12-01 16:59:05,0.0.5,5559.0,92.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,,,
54,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-08-15 18:57:56,2025-05-12 06:21:55,822.0,,141.0,17.0,436.0,83.0,311.0,975.0,2024-12-06 17:31:09,MetaDrive-0.4.3,46897.0,997.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,17,True,3.0,,1.0,,,,,,,,,,,,,
55,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2025-08-20 08:00:49,2025-08-20 08:00:05,758.0,456.0,69.0,18.0,293.0,113.0,168.0,742.0,,,,,,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,25.0,17,True,2.0,,,,,,,,,,,,,,,
56,Holodeck,BYU-PCCL/holodeck,,ml,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,MIT,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,49.0,196.0,588.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,,,,,,,,,,,,
57,Jiminy,duburcqa/jiminy,,ml,https://github.com/duburcqa/jiminy,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-07-20 13:58:26,2025-05-01 09:16:25,638.0,,27.0,4.0,749.0,35.0,92.0,267.0,2025-02-09 14:27:31,1.8.12,,,100.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,10.0,10.0,9.0,17,True,3.0,,,jiminy-py,https://pypi.org/project/jiminy-py,True,,,,,,,,,,
58,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-08-20 07:32:47,2025-08-20 07:32:45,794.0,117.0,26.0,5.0,490.0,15.0,12.0,193.0,2025-08-18 11:19:25,0.2.10,,,82.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,,,8.0,17,True,3.0,,,ksim,https://pypi.org/project/ksim,,,,,,,,,,,
