,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,docs_url,update_at,commint_count,gitlab_id,gitlab_url
16,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-04-23 21:17:33,2025-04-23 21:17:20,9404.0,1.0,2872.0,412.0,1923.0,235.0,1790.0,13496.0,2022-04-24 23:54:27,3.25,5566.0,48.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,309.0,26,True,1.0,,,,,-1.0,,,,,,,,,
17,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2025-07-01 16:59:47,2025-07-01 16:59:06,340.0,29.0,291.0,33.0,103.0,84.0,307.0,2740.0,2025-06-13 18:40:01,0.12.4,,,32.0,Massively parallel rigidbody physics simulation on accelerator hardware.,516.0,516.0,43.0,26,True,1.0,,,,,,,,,,,,,,
18,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/Jondolf/avian,Apache-2.0,2022-05-29 11:28:38,2025-06-30 18:00:55,2025-06-24 14:05:13,1031.0,43.0,167.0,15.0,421.0,141.0,174.0,2210.0,2025-06-05 09:11:53,0.3.1,,,12.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,329.0,329.0,66.0,26,True,1.0,,,,,,,,,,,,,,
19,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2025-07-02 06:47:48,2025-07-01 17:26:07,1048.0,185.0,1893.0,49.0,715.0,210.0,1305.0,4053.0,2025-04-24 15:13:49,2.1.0,,,14.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,134.0,25,True,2.0,,,,,,,,,,,,,,
20,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,235.0,20.0,65.0,166.0,75.0,1410.0,,,,107419.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3063.0,3063.0,23.0,25,True,3.0,pyrender,https://pypi.org/project/pyrender,107419.0,,,,,,,,,,,
21,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2025-07-02 08:33:39,2025-06-24 11:51:47,3464.0,108.0,231.0,26.0,145.0,175.0,394.0,854.0,2025-06-24 12:29:13,2.49.0,26742.0,417.0,100.0,a basic OpenSCENARIO player.,,,84.0,25,True,2.0,,,,,,,,,,,,,,
22,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-07-01 15:24:19,2025-07-01 15:24:19,2222.0,58.0,326.0,113.0,1575.0,12.0,616.0,3398.0,2025-06-30 12:24:30,1.4.320,,,100.0,Open-Source Vulkan C++ API.,,,93.0,24,True,3.0,,,,,,,,,,,,,,
23,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2025-07-01 15:24:19,2025-07-01 15:24:19,2222.0,58.0,326.0,113.0,1575.0,12.0,616.0,3398.0,2025-06-30 12:24:30,1.4.320,,,100.0,Open-Source Vulkan C++ API.,,,93.0,24,True,3.0,,,,,,,,,,,,,,
24,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2025-06-07 19:39:59,2025-06-07 19:39:59,5959.0,24.0,485.0,58.0,408.0,40.0,314.0,1611.0,2025-06-07 19:39:51,1.2.3,28651.0,454.0,20.0,An open source flight dynamics & control software library.,,,69.0,24,True,2.0,,,,,,,,,,,,,,
25,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-07-02 07:10:20,2025-05-29 18:14:02,7768.0,2.0,241.0,66.0,596.0,262.0,372.0,1429.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,380.0,380.0,49.0,24,True,2.0,,,,,,,,,,,,,,
26,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2025-07-01 12:57:09,2025-06-30 10:57:21,1319.0,111.0,66.0,7.0,46.0,3.0,22.0,538.0,2025-06-29 05:09:14,2.5.5,,2993.0,36.0,"A Python based lightweight robot simulator for the development of algorithms in robotics navigation, control, and..",12.0,12.0,8.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,2993.0,,,,,,,,,,,
27,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2025-07-01 22:04:22,2025-06-25 02:39:25,11892.0,195.0,75.0,11.0,410.0,79.0,281.0,210.0,2025-04-20 14:29:30,2.7.0,,,9.0,Astrodynamics simulation framework.,,,113.0,23,True,1.0,,,,,,,,,,,,,,
28,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2025-06-29 19:07:57,2025-05-17 23:27:54,5024.0,5.0,468.0,150.0,489.0,137.0,195.0,2424.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,60.0,22,True,2.0,,,,,,,,,,,,,,
29,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2025-07-02 03:22:33,2025-06-17 15:21:52,6130.0,22.0,281.0,62.0,1246.0,156.0,514.0,981.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,8.0,8.0,73.0,22,True,2.0,,,,,,,,,,,,,,
30,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2025-07-01 14:06:34,2025-04-16 10:05:50,5135.0,49.0,58.0,10.0,31.0,33.0,34.0,188.0,2025-04-16 10:16:26,5.5-v3.3,3719.0,247.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,261.0,22,True,1.0,,,,,,,,,,,,,,
31,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,764.0,84.0,41.0,614.0,1490.0,2373.0,2021-10-04 19:40:16,2021.3,97375.0,1232.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,
32,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2025-06-29 02:40:02,2025-06-28 22:04:15,554.0,67.0,295.0,20.0,510.0,94.0,525.0,1787.0,2025-05-20 05:05:42,3.0.0b21,,,35.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,46.0,21,True,2.0,,,,,,,,,,,,,,
33,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,493.0,32.0,337.0,1466.0,1588.0,1266.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,False,2.0,,,,,,,,,,,,,,
34,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,MIT,2020-03-16 01:11:40,2025-05-17 00:10:50,2023-02-08 07:39:06,1265.0,,49.0,17.0,27.0,56.0,140.0,589.0,,,3660.0,261.0,2.0,SAPIEN Embodied AI Platform.,220.0,220.0,10.0,21,True,2.0,,,,,,,,,,,,,,
35,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2025-06-30 08:36:28,2025-06-30 08:36:28,2454.0,32.0,220.0,15.0,291.0,44.0,496.0,523.0,2025-06-30 08:19:08,3.0.3,,,17.0,Virtual RobotX (VRX) resources.,,,36.0,21,True,1.0,,,,,,,,,,,,,,
36,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/ami-iit/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2025-07-01 14:21:06,2025-06-09 14:03:45,2105.0,130.0,15.0,18.0,374.0,13.0,58.0,129.0,2025-04-22 15:56:40,0.7.0,,3170.0,10.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,3.0,3.0,13.0,21,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2606.0,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2025-04-29 13:51:13.239,9588.0,,,,,
37,Roboschool,openai/roboschool,,robotics,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,mit,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,480.0,281.0,32.0,75.0,109.0,2153.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",192.0,192.0,9.0,20,False,2.0,,,,,,,,,,,,,,
38,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-06-04 17:04:13,2024-07-03 20:22:46,551.0,,329.0,63.0,614.0,13.0,193.0,1168.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,21.0,20,True,2.0,,,,,,,,,,,,,,
39,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-07-02 05:56:19,2025-06-18 19:49:07,7151.0,15.0,305.0,18.0,1992.0,415.0,552.0,938.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,154.0,20,True,2.0,,,,https://gazebosim.org/api/sim/9/,-1.0,,,,,,,,,
40,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2025-06-25 03:07:29,2025-06-25 03:07:23,490.0,19.0,54.0,16.0,248.0,7.0,109.0,332.0,2025-06-25 02:55:47,4.1.0,,193.0,11.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,17.0,20,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,193.0,,1.0,,,,,,,,,
41,K-Sim,kscalelabs/ksim,,ml,https://docs.kscale.dev/docs/ksim,https://github.com/kscalelabs/ksim,MIT,2025-01-26 04:37:31,2025-07-01 20:54:09,2025-07-01 19:09:21,726.0,337.0,14.0,6.0,432.0,5.0,12.0,145.0,2025-06-28 21:38:04,0.1.97,,1089.0,69.0,RL training library for humanoid locomotion and manipulation. Built on top of MuJoCo and JAX.,42.0,42.0,8.0,20,True,2.0,ksim,https://pypi.org/project/ksim,1089.0,,,,,,,,,,,
42,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1461.0,225.0,16.0,53.0,70.0,3955.0,2017-07-11 20:07:27,T3_v1.2,70934.0,723.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,
43,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2025-07-01 07:20:09,2025-04-24 22:53:07,1639.0,1.0,455.0,79.0,1739.0,185.0,636.0,3031.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,19,True,2.0,,,,,-1.0,,,,,,,,,
44,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2025-04-16 09:10:53,2025-04-16 09:04:58,1121.0,2.0,96.0,62.0,283.0,40.0,70.0,595.0,2024-11-15 12:44:00,1.3.1,61981.0,1878.0,10.0,Open source simulator for self-driving vehicles.,,,30.0,19,True,3.0,,,,,,,,,,,,,,
45,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,683.0,97.0,339.0,160.0,220.0,1348.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,
46,LocoMuJoCo,robfiras/loco-mujoco,,ml,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,MIT,2023-06-22 17:23:08,2025-05-30 15:29:57,2025-05-30 15:29:56,696.0,32.0,106.0,13.0,16.0,24.0,34.0,1070.0,2025-04-18 12:03:55,1.0.1,,,6.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,13.0,18,True,3.0,,,,,,,,,,,,,,
47,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2025-06-30 02:58:58,2024-08-16 12:00:23,10375.0,,322.0,73.0,998.0,299.0,221.0,768.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,,,,,,,,,,,
48,Flightmare,uzh-rpg/flightmare,[],aerial,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,358.0,35.0,37.0,113.0,60.0,1169.0,2020-12-01 16:59:05,0.0.5,5441.0,92.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,,
49,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2025-06-30 22:35:44,2025-06-30 22:35:00,115.0,25.0,141.0,19.0,41.0,14.0,74.0,1167.0,2025-06-23 18:39:59,0.0.5,,,4.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,17,True,3.0,,,,,,,,,,,,,,
50,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-05-12 06:21:57,2025-05-12 06:21:55,822.0,4.0,131.0,17.0,435.0,83.0,309.0,945.0,2024-12-06 17:31:09,MetaDrive-0.4.3,44776.0,973.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,17,True,3.0,,,,,,,,,,,,,,
51,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2025-07-02 09:30:38,2025-07-02 09:30:38,967.0,843.0,55.0,28.0,319.0,41.0,82.0,601.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,22.0,17,True,2.0,,,,,,,,,,,,,,
52,Holodeck,BYU-PCCL/holodeck,,ml,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,MIT,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,49.0,196.0,588.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,,,,,,,,,,,
53,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,Apache-2,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,444.0,58.0,237.0,48.0,145.0,2286.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,2.0,,,,,,,,,,,,,,
54,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2025-06-30 13:18:01,2025-06-30 13:18:01,804.0,1.0,418.0,17.0,52.0,107.0,106.0,1540.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,16,True,2.0,,,,,,,,,,,,,,
55,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2025-07-02 05:42:48,2025-07-02 05:42:47,375.0,375.0,88.0,13.0,182.0,57.0,62.0,1291.0,,,,,,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,18.0,16,True,3.0,,,,,,,,,,,,,,
56,UUV Simulator,uuvsimulator/uuv_simulator,,maritime,https://uuvsimulator.github.io/,https://github.com/uuvsimulator/uuv_simulator,apache-2,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,,312.0,49.0,285.0,106.0,75.0,779.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,16,False,1.0,,,,,,,,,,,,,,
57,Morse,morse-simulator/morse,,robotics,http://morse-simulator.github.io/,https://github.com/morse-simulator/morse,OFL-1.1,2010-08-23 14:41:06,2022-05-13 00:19:02,2022-03-22 21:33:51,4356.0,,143.0,38.0,389.0,98.0,340.0,363.0,2016-02-12 09:28:10,1.4,,,4.0,The Modular OpenRobots Simulation Engine.,,,59.0,16,False,2.0,,,,,,,,,,,,,,
58,mvsim,MRPT/mvsim,[],flatsim,https://github.com/MRPT/mvsim,https://github.com/MRPT/mvsim,BSD-3-Clause,2014-08-10 00:24:05,2025-06-27 00:36:42,2025-06-27 00:36:40,1235.0,26.0,50.0,11.0,39.0,8.0,20.0,337.0,2024-05-09 10:28:56,0.9.4,,,8.0,Vehicle and mobile robotics simulator. C++ & Python API. Use it as a standalone application or via ROS 1 or ROS 2.,,,9.0,16,True,3.0,,,,https://mvsimulator.readthedocs.io/,,,,,,,,,,
