,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,trending,gitlab_id,gitlab_url
10,Webots,cyberbotics/webots,,robotics,Apache-2.0,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,2018-11-05 14:09:10,2025-04-16 14:00:55,2025-04-16 13:57:38,15699.0,19.0,1718.0,73.0,4621.0,216.0,1638.0,3537.0,2025-02-04 12:36:33,R2025a,1603909.0,21104.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,
11,Wren (Webots),cyberbotics/webots,[],render,Apache-2.0,https://cyberbotics.com/,https://github.com/cyberbotics/webots,2018-11-05 14:09:10,2025-04-16 14:00:55,2025-04-16 13:57:38,15699.0,19.0,1718.0,73.0,4621.0,216.0,1638.0,3537.0,2025-02-04 12:36:33,R2025a,1603909.0,21104.0,17.0,Webots Robot Simulator.,,,136.0,29,True,1.0,,,,
12,OGRE,OGRECave/ogre,[],render,MIT,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,2015-11-29 15:57:03,2025-04-15 22:45:22,2025-04-15 22:45:22,12896.0,62.0,980.0,155.0,2425.0,125.0,745.0,4195.0,2025-02-02 15:00:33,14.3.4,3723.0,37.0,81.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,335.0,28,True,2.0,,,,
13,Bullet Physics SDK,bulletphysics/bullet3,[],physics,zlib,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,2011-04-12 18:45:08,2025-01-29 23:10:14,2025-01-29 23:09:22,9403.0,3.0,2842.0,412.0,1918.0,227.0,1790.0,13256.0,2022-04-24 23:54:27,3.25,5559.0,50.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",21.0,21.0,308.0,27,True,2.0,,,,
14,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,BSD-3-Clause,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,2022-11-16 23:55:13,2025-04-15 08:04:03,2025-04-11 16:53:23,878.0,197.0,1581.0,46.0,603.0,186.0,1059.0,3391.0,2025-03-05 23:37:20,2.0.2,,,13.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,111.0,25,True,2.0,,,,
15,AI2-thor,allenai/ai2thor,,ml,Apache-2.0,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,2017-10-17 18:00:39,2025-04-14 22:22:07,2025-03-04 06:54:00,7766.0,7.0,225.0,65.0,593.0,250.0,368.0,1341.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,352.0,352.0,50.0,25,True,2.0,,,,
16,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,Apache-2.0,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,2016-06-16 12:51:55,2025-04-16 06:32:29,2025-04-16 06:32:29,2174.0,72.0,317.0,114.0,1521.0,13.0,600.0,3304.0,2025-04-07 09:36:54,1.4.312,,,100.0,Open-Source Vulkan C++ API.,,,91.0,24,True,3.0,,,,
17,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,Apache-2.0,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,2016-06-16 12:51:55,2025-04-16 06:32:29,2025-04-16 06:32:29,2174.0,72.0,317.0,114.0,1521.0,13.0,600.0,3304.0,2025-04-07 09:36:54,1.4.312,,,100.0,Open-Source Vulkan C++ API.,,,91.0,24,True,3.0,,,,
18,JSBSim,JSBSim-Team/jsbsim,[],physics,LGPL-2.1,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,2017-12-17 20:18:32,2025-04-15 16:27:11,2025-04-15 16:27:11,5941.0,22.0,470.0,56.0,390.0,39.0,308.0,1537.0,2025-03-22 12:12:22,1.2.2,26509.0,441.0,19.0,An open source flight dynamics & control software library.,,,69.0,24,True,2.0,,,,
19,DART,dartsim/dart,[],physics,BSD-2-Clause,http://dartsim.github.io/,https://github.com/dartsim/dart,2011-09-19 21:53:51,2025-04-14 23:13:05,2025-04-12 06:51:47,6110.0,31.0,279.0,61.0,1214.0,155.0,512.0,952.0,2024-11-15 17:14:52,6.15.0,,,61.0,DART: Dynamic Animation and Robotics Toolkit.,6.0,6.0,73.0,23,True,2.0,,,,
20,Habitat Sim,facebookresearch/habitat-sim,,ml,MIT,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,2019-02-04 23:14:28,2025-03-21 01:08:22,2025-03-07 21:26:19,1638.0,13.0,447.0,79.0,1733.0,178.0,635.0,2892.0,2025-01-27 19:28:32,"0.3,3",,,28.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,62.0,22,True,2.0,,,,
21,ManiSkill,haosulab/ManiSkill,,ml,Apache-2.0,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,2022-08-02 04:56:58,2025-04-12 09:30:50,2025-04-09 22:44:08,501.0,85.0,246.0,21.0,464.0,103.0,408.0,1482.0,2025-03-17 17:20:30,3.0.0b20,,,34.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark, led by Hillbot,..",,,41.0,22,True,2.0,,,,
22,AWSim,tier4/AWSIM,,domain,apache-2,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,2022-10-14 00:48:24,2025-04-16 09:10:53,2025-04-16 09:04:58,1121.0,4.0,93.0,65.0,283.0,36.0,69.0,573.0,2024-11-15 12:44:00,1.3.1,56615.0,1887.0,10.0,Open source simulator for self-driving vehicles.,,,30.0,22,True,2.0,,,,
23,Simbody,simbody/simbody,[],physics,Apache-2.0,https://simtk.org/home/simbody,https://github.com/simbody/simbody,2013-08-16 00:21:53,2025-03-16 00:41:27,2025-03-16 00:41:26,5019.0,9.0,463.0,150.0,483.0,136.0,191.0,2394.0,2019-12-08 22:16:03,Simbody-3.7,,,10.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,60.0,21,True,2.0,,,,
24,SVL Simulator,lgsvl/simulator,,eol,,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,758.0,83.0,41.0,614.0,1490.0,2344.0,2021-10-04 19:40:16,2021.3,97095.0,1277.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,True,2.0,,,,
25,Gazebo Classic,gazebosim/gazebo-classic,,eol,Apache-2,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,490.0,31.0,337.0,1466.0,1588.0,1247.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,199.0,21,True,2.0,,,,
26,Gazebo,gazebosim/gz-sim,,robotics,Apache-2.0,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,2020-04-15 09:17:50,2025-04-16 16:55:02,2025-04-16 15:37:44,7140.0,36.0,291.0,16.0,1946.0,378.0,538.0,865.0,2025-01-16 23:44:06,gz-sim9_9.0.0,,,6.0,Open source robotics simulator. The latest version of Gazebo.,,,153.0,21,True,2.0,https://gazebosim.org/api/sim/9/,,,
27,Self Driving Car,udacity/self-driving-car-sim,,eol,mit,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1465.0,226.0,16.0,53.0,70.0,3940.0,2017-07-11 20:07:27,T3_v1.2,70525.0,742.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,True,2.0,,,,
28,Roboschool,openai/roboschool,,eol,mit,https://blog.openai.com/roboschool/,https://github.com/openai/roboschool,2017-05-15 22:17:09,2023-04-02 11:37:04,2019-10-10 01:01:07,367.0,,479.0,279.0,32.0,75.0,109.0,2145.0,,,,,,"DEPRECATED: Open-source software for robot simulation, integrated with OpenAI Gym.",190.0,190.0,9.0,19,True,2.0,,,,
29,MetaDrive,metadriverse/metadrive/,,ml,Apache-2.0,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,2021-08-28 08:42:42,2025-04-15 04:17:19,2025-04-14 03:45:35,819.0,20.0,123.0,15.0,432.0,75.0,309.0,889.0,2024-12-06 17:31:09,MetaDrive-0.4.3,39277.0,913.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,2.0,,,,
30,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,BSD-3-Clause,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,2022-10-04 09:07:32,2025-04-07 15:09:34,2025-04-07 15:09:34,33.0,10.0,449.0,55.0,43.0,32.0,111.0,3802.0,2025-03-25 09:26:22,107.0-physx-5.6.0,,,18.0,NVIDIA PhysX SDK.,,,7.0,18,True,3.0,,,,
31,RotorS,ethz-asl/rotors_simulator,[],aerial-simulators,mit,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,677.0,97.0,339.0,160.0,220.0,1319.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,1.0,,,,
32,OpenRAVE,rdiankov/openrave,[],robotics,Apache-2 and LGPL-3,https://openrave.org/,https://github.com/rdiankov/openrave,2012-09-14 05:40:51,2025-04-15 11:19:28,2024-08-16 12:00:23,10375.0,,321.0,73.0,983.0,299.0,221.0,751.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,122.0,18,True,2.0,,,,
33,pyrobosim,sea-bass/pyrobosim,[],robotics,MIT,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,2022-01-17 13:04:18,2025-04-16 03:17:11,2025-04-16 03:16:56,480.0,21.0,49.0,14.0,237.0,8.0,107.0,318.0,2025-04-16 03:28:30,4.0.0,,,10.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,16.0,18,True,2.0,,,,
34,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial-simulators,MIT,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/utiasDSL/gym-pybullet-drones,2020-08-10 07:38:09,2025-02-11 05:33:37,2025-02-11 05:33:37,803.0,5.0,401.0,16.0,52.0,102.0,106.0,1453.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,17.0,17,True,1.0,,,,
35,Flightmare,uzh-rpg/flightmare,[],aerial-simulators,MIT,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,350.0,34.0,37.0,111.0,60.0,1105.0,2020-12-01 16:59:05,0.0.5,5243.0,93.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,1.0,,,,
36,Holodeck,BYU-PCCL/holodeck,,domain,MIT,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,48.0,196.0,584.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,19.0,17,True,3.0,,,,
37,TPE (part of gz-physics),gazebosim/gz-physics,[],physics,Apache-2.0,https://gazebosim.org/,https://github.com/gazebosim/gz-physics,2020-04-15 09:18:03,2025-04-07 21:45:48,2025-03-19 16:58:50,1846.0,11.0,43.0,16.0,585.0,70.0,71.0,66.0,2025-01-16 23:48:49,gz-physics8_8.0.0,,,6.0,Abstract physics interface designed to support simulation and rapid development of robot applications.,,,46.0,17,True,3.0,,,,
38,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,Apache-2,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,2020-09-24 17:23:13,2024-11-26 12:02:53,2024-11-26 11:42:34,138.0,,440.0,57.0,237.0,44.0,145.0,2213.0,2022-02-03 01:13:55,0.7.0,,,4.0,"Central repository for tools, tutorials, resources, and documentation for robotics simulation in Unity.",,,13.0,16,True,3.0,,,,
39,UUV Simulator,uuvsimulator/uuv_simulator,,eol,apache-2,https://uuvsimulator.github.io/,https://github.com/uuvsimulator/uuv_simulator,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,,314.0,49.0,285.0,106.0,75.0,763.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,16,True,3.0,,,,
40,Morse,morse-simulator/morse,,eol,OFL-1.1,http://morse-simulator.github.io/,https://github.com/morse-simulator/morse,2010-08-23 14:41:06,2022-05-13 00:19:02,2022-03-22 21:33:51,4356.0,,143.0,38.0,389.0,98.0,340.0,362.0,2016-02-12 09:28:10,1.4,,,4.0,The Modular OpenRobots Simulation Engine.,,,59.0,16,True,3.0,,,,
41,mvsim,MRPT/mvsim,[],robotics,BSD-3-Clause,https://github.com/MRPT/mvsim,https://github.com/MRPT/mvsim,2014-08-10 00:24:05,2025-02-05 21:57:25,2025-02-05 21:57:09,1209.0,11.0,46.0,9.0,37.0,8.0,20.0,314.0,2024-05-09 10:28:56,0.9.4,,,8.0,Vehicle and mobile robotics simulator. C++ & Python API. Use it as a standalone application or via ROS 1 or ROS 2.,,,9.0,16,True,3.0,https://mvsimulator.readthedocs.io/,,,
42,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,[],physics,NVIDIA Omniverse License Agreement,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIAGameWorks/PhysX,2018-12-05 14:30:22,2023-09-05 08:32:01,2022-11-09 12:26:46,12.0,,773.0,144.0,60.0,309.0,306.0,3331.0,2018-12-20 16:57:26,4.0.0,,,2.0,NVIDIA PhysX SDK.,,,3.0,15,True,3.0,,,,
43,Gibson,StanfordVL/GibsonEnv,,ml,MIT,http://gibsonenv.stanford.edu/,https://github.com/StanfordVL/GibsonEnv,2017-12-18 20:12:35,2024-04-15 12:20:11,2021-05-12 18:03:25,1156.0,,145.0,29.0,26.0,47.0,71.0,899.0,,,,,2.0,Gibson Environments: Real-World Perception for Embodied Agents.,,,9.0,15,True,3.0,,,,
44,PyRep,stepjam/PyRep,,ml,MIT,https://github.com/stepjam/PyRep,https://github.com/stepjam/PyRep,2019-06-26 12:15:58,2024-08-16 12:54:08,2024-07-02 08:49:17,153.0,,158.0,12.0,101.0,28.0,269.0,734.0,2024-01-28 14:47:39,4.1.0,,,1.0,A toolkit for robot learning research.,,,20.0,15,True,3.0,,,,
45,Safe Control Gym,utiasDSL/safe-control-gym,,ml,MIT,https://www.dynsyslab.org/safe-robot-learning/,https://github.com/utiasDSL/safe-control-gym,2021-08-04 22:14:15,2025-03-04 00:30:48,2025-03-04 00:30:48,529.0,7.0,130.0,12.0,124.0,5.0,49.0,705.0,2024-10-21 14:55:01,1.0.0,,,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,17.0,15,True,3.0,,,,
46,Ros2 For Unity,RobotecAI/ros2-for-unity,,robotics,Apache-2.0,https://github.com/RobotecAI/ros2-for-unity,https://github.com/RobotecAI/ros2-for-unity,2021-08-19 12:52:18,2024-09-30 08:17:55,2024-09-30 08:17:55,96.0,,57.0,9.0,31.0,38.0,55.0,519.0,2023-03-31 19:37:08,1.3.0,6820.0,155.0,4.0,High-performance ROS2 solution for Unity3D.,,,12.0,15,True,3.0,,,,
47,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],aerial-simulators,BSD-3-Clause,https://pegasussimulator.github.io/PegasusSimulator/,https://github.com/PegasusSimulator/PegasusSimulator,2023-02-27 08:58:27,2025-03-04 20:34:41,2025-02-21 11:44:43,212.0,2.0,75.0,8.0,31.0,10.0,26.0,431.0,2024-11-01 18:42:42,4.2.0,,,5.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,,,3.0,15,True,2.0,,,,
48,ROS Intergration for unreal,code-iai/ROSIntegration,,eol,MIT,https://github.com/code-iai/ROSIntegration,https://github.com/code-iai/ROSIntegration,2017-08-17 19:46:51,2025-02-11 10:10:58,2025-02-11 10:10:58,433.0,3.0,132.0,39.0,86.0,51.0,76.0,428.0,,,,,,Unreal Engine Plugin to enable ROS Support.,,,32.0,15,True,3.0,,,,
49,FlightGoggles,mit-aera/FlightGoggles,[],aerial-simulators,MIT,https://flightgoggles.mit.edu/,https://github.com/mit-aera/FlightGoggles,2017-04-02 21:14:31,2024-04-01 14:38:14,2024-04-01 14:38:14,219.0,,96.0,26.0,6.0,20.0,151.0,411.0,2021-05-31 00:18:07,3.0,1574.0,18.0,18.0,A framework for photorealistic hardware-in-the-loop agile flight simulation using Unity3D and ROS. Developed by MIT..,,,9.0,15,True,2.0,,,,
50,DAVE,Field-Robotics-Lab/dave,,domain,Apache-2.0,https://field-robotics-lab.github.io/dave.doc/,https://github.com/Field-Robotics-Lab/dave,2019-10-02 23:45:04,2024-08-19 01:00:35,2023-12-04 08:10:33,771.0,,71.0,7.0,167.0,30.0,99.0,246.0,2022-02-26 01:20:21,4.3.0,,,8.0,Project DAVE.,,,25.0,15,True,3.0,,,,
51,RoboVerse,RoboVerseOrg/RoboVerse,,ml,Apache-2.0,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,2025-04-04 03:00:06,2025-04-16 08:40:28,2025-04-16 08:40:25,182.0,182.0,42.0,12.0,40.0,32.0,33.0,911.0,,,,,,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,11.0,14,True,3.0,,,,
52,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],aerial-simulators,BSD-3-Clause,https://ntnu-arl.github.io/aerial_gym_simulator/,https://github.com/ntnu-arl/aerial_gym_simulator,2023-04-04 20:48:46,2025-04-14 16:28:19,2025-04-14 16:27:52,53.0,24.0,74.0,16.0,9.0,4.0,26.0,455.0,2024-07-18 11:16:03,1.0.0,,,1.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,,,3.0,14,True,3.0,,,,
53,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,Apache-2.0,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,2025-03-17 22:35:01,2025-04-16 16:05:19,2025-04-16 16:05:19,251.0,251.0,33.0,20.0,89.0,48.0,18.0,360.0,,,,,,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,14.0,14,True,3.0,,,,
54,ProcTHOR,allenai/procthor,,ml,Apache-2.0,https://procthor.allenai.org/,https://github.com/allenai/procthor,2022-07-25 20:53:54,2023-04-07 11:02:38,2022-12-14 19:21:47,30.0,,29.0,9.0,10.0,42.0,8.0,331.0,2022-08-21 16:32:44,0.0.1,,,3.0,Scaling Embodied AI by Procedurally Generating Interactive 3D Houses.,12.0,12.0,6.0,14,True,3.0,,,,
55,ARGoS,ilpincy/argos3,[],robotics,,https://www.argos-sim.info/,https://github.com/ilpincy/argos3,2012-11-05 19:07:02,2025-03-10 14:40:13,2025-03-10 14:39:52,1395.0,3.0,109.0,22.0,95.0,28.0,101.0,280.0,,,,,,"A parallel, multi-engine simulator for heterogeneous swarm robotics.",,,25.0,14,True,3.0,,,,
56,CrazyS,gsilano/CrazyS,[],aerial-simulators,Apache-2.0,https://github.com/gsilano/CrazyS,https://github.com/gsilano/CrazyS,2018-02-20 14:42:23,2022-08-11 14:59:13,2022-08-11 14:57:06,259.0,,83.0,4.0,19.0,9.0,79.0,165.0,2021-12-28 12:17:27,7.0.1,,,27.0,"CrazyS is an extension of the ROS package RotorS, aimed to modeling, developing and integrating the Crazyflie 2.0.",,,3.0,14,True,3.0,,,,
57,Stonefish,patrykcieslak/stonefish,,domain,GPL-3.0,https://stonefish.readthedocs.io/,https://github.com/patrykcieslak/stonefish,2019-05-10 08:37:07,2025-04-09 12:24:09,2025-04-09 12:23:40,368.0,15.0,34.0,7.0,27.0,7.0,30.0,141.0,2025-03-05 15:05:31,1.4,,,6.0,Stonefish - an advanced C++ simulation library designed for (but not limited to) marine robotics.,,,11.0,14,True,3.0,,,,
58,Unity Rendering Plugin,Unity-Technologies/NativeRenderingPlugin,[],render,MIT,https://docs.unity3d.com/Manual/NativePluginInterface.html,https://github.com/Unity-Technologies/NativeRenderingPlugin,2019-09-03 06:35:55,2024-12-04 17:43:14,2024-08-05 15:24:50,145.0,,169.0,530.0,19.0,25.0,3.0,868.0,,,,,,C++ Rendering Plugin example for Unity.,,,12.0,13,True,3.0,,,,
59,rotorpy,spencerfolk/rotorpy,[],aerial-simulators,MIT,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,2023-03-15 18:55:42,2025-03-31 19:08:12,2025-03-31 18:59:38,125.0,31.0,34.0,5.0,7.0,4.0,9.0,129.0,2025-03-31 19:08:12,1.2.0,2.0,1.0,2.0,A multirotor simulator with aerodynamics for education and research.,,,4.0,13,True,3.0,,,,
60,Flatland,avidbots/flatland,,robotics,BSD-3-Clause,https://flatland-simulator.readthedocs.io/,https://github.com/avidbots/flatland,2017-08-15 16:22:15,2025-02-14 16:40:05,2024-05-07 21:05:02,796.0,,41.0,9.0,83.0,13.0,13.0,112.0,2023-11-22 22:40:54,1.4.0,,,2.0,A 2D robot simulator for ROS.,,,14.0,13,True,3.0,,,,
61,Deepdrive,deepdrive/deepdrive,,ml,,https://deepdrive.io/,https://github.com/deepdrive/deepdrive,2017-11-21 17:28:45,2023-10-03 21:34:17,2020-06-29 19:31:52,831.0,,148.0,61.0,19.0,35.0,29.0,912.0,2018-05-17 21:36:53,2.0,,,1.0,Deepdrive is a simulator that allows anyone with a PC to push the state-of-the-art in self-driving.,,,6.0,11,True,3.0,,,,
62,PyBullet Gym,benelot/pybullet-gym,[],ml,MIT,https://pybullet.org/,https://github.com/benelot/pybullet-gym,2018-01-05 12:35:57,2021-10-16 08:35:41,2021-03-29 09:19:09,64.0,,120.0,9.0,20.0,30.0,27.0,849.0,,,,,,Open-source implementations of OpenAI Gym MuJoCo environments for use with the OpenAI Gym Reinforcement Learning..,,,14.0,11,True,3.0,,,,
